drug_id,name,smiles,native_feature_index,lmdb_key,geometry_source,source_record_sha256
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,128985,000010,existing_independent_ETKDG,d761490b8f2407f1d3e2ba04ea345583d587407d7b250cce683804cec4855c99
AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,176555,000011,existing_independent_ETKDG,0aff7e1b912a6aa3019c471d7d34e7970a3ccc01f28be4268e49c2ab00653a69
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,88387,000012,existing_independent_ETKDG,33387c39376ed518dfc4019de5d2a78c57cac5b45b7ecdcaa67abbe8aa7b9274
ANGKOCUUWGHLCE-HKUYNNGSSA-N,glycopyrronium,C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1,177083,000013,existing_independent_ETKDG,7d49e500b9e02c957b84706aee80f2a0395ea6ea8fc7c8b3ac8d2c78415097ed
AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,121069,000014,existing_independent_ETKDG,1f488381c7d4992b385521817fc3f08257185202656b2cc838b727432e874e2c
AQHHHDLHHXJYJD-UHFFFAOYSA-N,propranolol,CC(C)NCC(O)COc1cccc2ccccc12,33762,000015,existing_independent_ETKDG,ff6dcd47732c52fd6a4f9107446112cc21126d6f533e256bda753a215cb82198
AQNDDEOPVVGCPG-UHFFFAOYSA-N,esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,110689,000016,existing_independent_ETKDG,7e51f08458dfd48382f2898bc6101b554fb0f9bb7d9f9551539d70ec59d7253b
AQOKCDNYWBIDND-FTOWTWDKSA-N,bimatoprost,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,66474,000017,existing_independent_ETKDG,ac2901925fa7556a5150678e49455bbef642376d1dfacb0bed157b53ad434a49
ASMXXROZKSBQIH-VITNCHFBSA-N,aclidinium,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,286609,000018,existing_independent_ETKDG,0e28ef5a6a743154d577b33561955871b0366f336311274ebc8d06b0b501272c
ASOADIZOVZTJSR-UHFFFAOYSA-N,opicapone,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,179763,000019,existing_independent_ETKDG,34094603763815e2e81d283c0b63b22f2695f00b685aef1e2331e205bac43d60
