candidate_id,pair_id,modeled_entity_name,gene_symbol,binding_rank_384,rank_band,action_class,recommendation_band,recommended_disease_is_cross_area,recommended_disease,positive_max_tanimoto,usable_chemical_support_ge04
C384-001,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,tecovirimat,AR,1,1–5,EXPLORABLE,PRIORITY_CROSS_AREA_MECHANISM_REVIEW,True,HER2 positive breast carcinoma,0.4629629629629629,True
C384-002,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,tedizolid,NTRK2,2,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,plasma cell myeloma,0.3043478260869565,False
C384-003,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,carglumic acid,MMP12,3,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,peripheral vascular disease,0.3617021276595745,False
C384-004,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,apixaban,FLT3,4,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,rheumatoid arthritis,0.3055555555555556,False
C384-005,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,ranolazine,IGF1R,5,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,gout,0.3432835820895522,False
C384-006,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,pregabalin,MME,5,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,hypertensive disorder,0.3684210526315789,False
C384-007,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,vismodegib,NTRK1,2,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,prostate carcinoma,0.4084507042253521,True
C384-008,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,lubiprostone,AR,6,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,alopecia,0.3164556962025316,False
C384-009,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,alpelisib,DPP4,7,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,rheumatoid arthritis,0.3461538461538461,False
C384-010,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,lasmiditan,FLT3,8,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,obesity disorder,0.3125,False
C384-011,MQOBSOSZFYZQOK-UHFFFAOYSA-N__CHEMBL1978,choline fenofibrate,CYP19A1,9,6–10,EVIDENCE_DEPRIORITIZE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,osteoporosis,0.3137254901960784,False
C384-012,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,cabotegravir,PPARG,9,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,diabetic retinopathy,0.3372093023255814,False
C384-013,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,pitavastatin,MMP12,10,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,True,atherosclerosis,0.3015873015873015,False
