gene,model_a,model_b,raw_spearman,partial_rank_correlation
LYVE1,ours,dtiam,0.052228243226667595,0.01910529546071298
LYVE1,ours,drugclip,-0.13027140613054164,-0.09196921789327223
LYVE1,dtiam,drugclip,-0.28575404870970267,-0.12805252421602611
SLC8A1,ours,dtiam,0.03408894801573727,-0.08978994994497318
SLC8A1,ours,drugclip,0.08640143338753867,0.146712268647683
SLC8A1,dtiam,drugclip,-0.461420491066611,-0.2061074793536501
HGF,ours,dtiam,-0.019584964279723217,0.040529152658015453
HGF,ours,drugclip,0.10191805282546197,0.02874678613780797
HGF,dtiam,drugclip,-0.32320588288223984,-0.047632615497777156
