gene,model,score_mw_spearman,score_logp_spearman,top20_median_molecular_weight,top20_median_logp
LYVE1,ours,-0.0010873543901065597,0.1416123004237752,440.1930000000002,4.662490000000004
LYVE1,dtiam,0.7323519418702457,0.49296433445496274,544.1335000000001,4.835790000000004
LYVE1,drugclip,-0.23212006963202952,-0.34650594788862393,342.8660000000001,1.3267499999999997
SLC8A1,ours,0.09873572346019803,0.10012264846284068,437.97900000000016,4.278800000000002
SLC8A1,dtiam,0.7811510133188331,0.4499934996164272,548.5375000000001,4.386650000000003
SLC8A1,drugclip,-0.4454872546310301,-0.19655968626350678,219.7105,0.7499500000000001
HGF,ours,-0.09647748827019521,-0.18184394441520402,353.9435000000001,2.337400000000002
HGF,dtiam,0.7038282169598388,0.3820559192131125,559.3765000000001,4.614750000000004
HGF,drugclip,-0.4194092035252931,-0.35000296505878176,282.81399999999996,1.3693
