drug_id,molecular_weight,logp,tpsa,heavy_atoms
CBRJPFGIXUFMTM-WDEREUQCSA-N,285.35100000000006,1.9352999999999994,73.91,21
CEFJVGZHQAGLHS-UHFFFAOYSA-N,510.36700000000013,5.670700000000004,88.05000000000001,33
CEUORZQYGODEFX-UHFFFAOYSA-N,448.39400000000006,4.859300000000005,44.81,30
CGIGDMFJXJATDK-UHFFFAOYSA-N,357.793,3.9273200000000026,68.53,25
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,547.6740000000003,2.3753,140.42000000000002,38
CJOFXWAVKWHTFT-XSFVSMFZSA-N,318.339,3.201500000000001,56.84,22
CMHHMUWAYWTMGS-UHFFFAOYSA-N,308.42199999999997,2.946300000000001,64.79,22
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,540.0210000000002,3.908400000000002,140.13,36
CMWTZPSULFXXJA-VIFPVBQESA-N,230.26299999999998,3.036500000000001,46.53,17
COUYJEVMBVSIHV-SFHVURJKSA-N,386.44800000000015,2.3760000000000003,100.05000000000001,28
CPZBLNMUGSZIPR-NVXWUHKLSA-N,296.414,2.656500000000001,23.550000000000004,22
CSKDFZIMJXRJGH-VWLPUNTISA-N,376.334,2.4033000000000007,66.48,27
CSOBIBXVIYAXFM-BYNJWEBRSA-N,477.56500000000034,2.7160599999999997,112.87,35
CTRLABGOLIVAIY-UHFFFAOYSA-N,252.27299999999997,2.6422000000000008,63.400000000000006,19
CUHVIMMYOGQXCV-NSHDSACASA-N,200.28500000000003,3.1783400000000013,28.68,15
CUIHSIWYWATEQL-UHFFFAOYSA-N,437.52900000000017,3.1390400000000005,119.03,31
CVWXJKQAOSCOAB-UHFFFAOYSA-N,560.6800000000004,5.856500000000005,106.16000000000001,40
CXOFVDLJLONNDW-UHFFFAOYSA-N,252.27300000000002,1.7696,58.2,19
CXOXHMZGEKVPMT-UHFFFAOYSA-N,300.74500000000006,3.3712000000000018,40.620000000000005,21
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,439.31300000000016,4.183520000000003,69.37,28
CYOHGALHFOKKQC-UHFFFAOYSA-N,457.68700000000024,3.5256000000000016,88.41000000000001,27
CYQFCXCEBYINGO-IAGOWNOFSA-N,314.46900000000005,5.735800000000006,29.46,23
CZFFBEXEKNGXKS-UHFFFAOYSA-N,444.4230000000002,0.9115199999999997,152.24,32
CZGVOBIGEBDYTP-VSGBNLITSA-N,546.6860000000004,3.908100000000002,142.03,38
DBABZHXKTCFAPX-UHFFFAOYSA-N,285.36499999999995,2.1955,74.68,19
DBEPLOCGEIEOCV-WSBQPABSSA-N,372.55300000000017,3.8145000000000024,58.2,27
DBGIVFWFUFKIQN-UHFFFAOYSA-N,231.26099999999997,3.2459000000000024,12.03,16
DCCSDBARQIPTGU-HSZRJFAPSA-N,411.58600000000007,5.381100000000005,49.77,30
DCOPUUMXTXDBNB-UHFFFAOYSA-N,296.153,4.364100000000001,49.33,19
DDFOUSQFMYRUQK-RCDICMHDSA-N,437.4750000000001,4.242980000000002,87.61999999999999,31
DDLIGBOFAVUZHB-UHFFFAOYSA-N,325.77400000000006,4.324220000000002,30.18,23
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,549.5530000000003,3.5306000000000024,104.29,40
DEVSOMFAQLZNKR-RJRFIUFISA-N,443.311,3.386700000000001,97.62,31
DHHVAGZRUROJKS-UHFFFAOYSA-N,149.237,1.9664,26.02,11
DHMTURDWPRKSOA-RUZDIDTESA-N,638.8319999999999,5.909900000000006,79.53,36
DHSUYTOATWAVLW-WFVMDLQDSA-N,358.46000000000004,1.4326000000000003,129.72,24
DIWRORZWFLOCLC-UHFFFAOYSA-N,321.163,3.1013000000000015,61.69,21
DJXRIQMCROIRCZ-XOEOCAAJSA-N,444.53500000000014,2.766000000000001,96.25,33
DKNWSYNQZKUICI-UHFFFAOYSA-N,151.253,1.9139,26.02,11
DKULOVKANLVDEA-UHFFFAOYSA-N,546.201,2.5318000000000005,142.20999999999998,29
DKYWVDODHFEZIM-UHFFFAOYSA-N,254.285,3.1057000000000015,54.37,19
DMJNNHOOLUXYBV-PQTSNVLCSA-N,383.4700000000002,-0.3079999999999994,110.17999999999999,26
DMKSVUSAATWOCU-HROMYWEYSA-N,466.95800000000025,3.9165000000000028,99.13000000000001,32
DMNOVGJWPASQDL-OAQYLSRUSA-N,386.5610000000003,4.692600000000004,43.379999999999995,27
DOBNVUFHFMVMDB-BEFAXECRSA-N,383.44400000000024,3.3565000000000005,103.7,28
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,291.438,4.877300000000004,3.24,22
DOUYETYNHWVLEO-UHFFFAOYSA-N,240.30999999999997,2.8227,56.730000000000004,18
DQCKKXVULJGBQN-XFWGSAIBSA-N,341.4070000000001,1.5253999999999999,70.0,25
DRHKJLXJIQTDTD-OAHLLOKOSA-N,408.5200000000001,2.3409000000000004,99.88,28
DTGLZDAWLRGWQN-UHFFFAOYSA-N,373.44900000000007,3.8910000000000036,46.61,26
DUGOZIWVEXMGBE-CHWSQXEVSA-N,233.31099999999995,2.0852999999999997,38.33,17
DUXZAXCGJSBGDW-HXUWFJFHSA-N,341.49500000000006,4.525300000000004,43.7,25
DUYJMQONPNNFPI-UHFFFAOYSA-N,499.6190000000003,4.509800000000003,87.55,37
DWRIJNIPBUFCQS-DQEYMECFSA-N,668.6540000000005,6.056020000000007,69.14,47
DWYRIWUZIJHQKQ-SANMLTNESA-N,498.57000000000016,2.6077000000000004,106.28999999999999,37
DWZAEMINVBZMHQ-UHFFFAOYSA-N,615.7390000000003,3.022000000000001,128.29,45
DYDCPNMLZGFQTM-UHFFFAOYSA-N,440.76500000000016,1.9177000000000002,121.68,30
DYKFCLLONBREIL-KVUCHLLUSA-N,457.48300000000023,0.1866000000000017,164.63,33
DYLUUSLLRIQKOE-UHFFFAOYSA-N,473.3810000000001,4.292600000000002,108.74,33
FABPRXSRWADJSP-MEDUHNTESA-N,401.4380000000002,2.3705000000000007,83.80000000000001,29
FABUFPQFXZVHFB-PVYNADRNSA-N,506.7090000000003,4.050520000000002,112.05000000000001,35
FAEKWTJYAYMJKF-QHCPKHFHSA-N,452.5950000000003,5.219900000000005,78.87,33
FASDKYOPVNHBLU-ZETCQYMHSA-N,211.33399999999997,1.5822,50.94,14
FBHSPRKOSMHSIF-GRMWVWQJSA-N,441.5240000000002,2.5632,102.26,32
FBOUYBDGKBSUES-VXKWHMMOSA-N,362.47300000000007,3.864900000000003,32.78,27
FDBYIYFVSAHJLY-UHFFFAOYSA-N,435.2270000000001,2.0982800000000004,146.51999999999998,29
FDLYAMZZIXQODN-UHFFFAOYSA-N,434.47100000000034,2.3474000000000004,86.37,32
FDTZUTSGGSRHQF-UHFFFAOYSA-N,265.25,2.0092000000000003,105.36,18
FELGMEQIXOGIFQ-UHFFFAOYSA-N,293.37000000000006,3.1285200000000017,39.82,22
FFGPTBGBLSHEPO-UHFFFAOYSA-N,236.274,3.3872000000000018,46.330000000000005,18
FGQFOYHRJSUHMR-UHFFFAOYSA-N,404.28900000000016,4.2371000000000025,68.00999999999999,24
FIDLLEYNNRGVFR-CTNGQTDRSA-N,483.49600000000027,2.977500000000001,75.00999999999999,34
FIKPXCOQUIZNHB-WDEREUQCSA-N,355.3730000000001,2.5522,80.55000000000001,26
FIVSJYGQAIEMOC-ZGNKEGEESA-N,500.483,5.729500000000005,50.36,35
FJHBVJOVLFPMQE-QFIPXVFZSA-N,392.41100000000023,2.3476,101.65000000000002,29
FJZZPCZKBUKGGU-AUSIDOKSSA-N,404.55100000000016,3.4323000000000023,71.03000000000002,29
FKENQMMABCRJMK-RITPCOANSA-N,233.24499999999998,-0.794999999999999,91.75,15
FLSUCZWOEMTFAQ-PRBGKLEPSA-N,349.45500000000004,0.4064000000000001,100.9,21
FNHKPVJBJVTLMP-UHFFFAOYSA-N,482.82100000000014,5.688800000000002,92.35000000000001,33
FNKQXYHWGSIFBK-RPDRRWSUSA-N,241.251,-1.7002000000000006,136.29,17
FPOHNWQLNRZRFC-ZHACJKMWSA-N,349.43399999999997,3.3272200000000014,77.15,26
