ligand_inchikey,mean_probability_across_384_targets
AAOVKJBEBIDNHE-UHFFFAOYSA-N,0.18739725721614583
ACRHBAYQBXXRTO-OAQYLSRUSA-N,0.22632093895052083
ACWBQPMHZXGDFX-QFIPXVFZSA-N,0.3948956618776042
ACWZRVQXLIRSDF-UHFFFAOYSA-N,0.5314441045833334
ADEBPBSSDYVVLD-UHFFFAOYSA-N,0.21658135786979169
AEXFXNFMSAAELR-RXVVDRJESA-N,0.6318638541406251
AFLFKFHDSCQHOL-IZZDOVSWSA-N,0.2988933849791667
AHJRHEGDXFFMBM-UHFFFAOYSA-N,0.868359656640625
AHOUBRCZNHFOSL-YOEHRIQHSA-N,0.345727233546875
AHYMHWXQRWRBKT-UHFFFAOYSA-N,0.8000471271874999
AILRADAXUVEEIR-UHFFFAOYSA-N,0.8809017686718751
AJIPIJNNOJSSQC-NYLIRDPKSA-N,0.20670666892447917
ALWKGYPQUAPLQC-UHFFFAOYSA-N,0.13051183488802084
ANGKOCUUWGHLCE-HKUYNNGSSA-N,0.19227310713802082
AOMXMOCNKJTRQP-UHFFFAOYSA-N,0.803764039765625
AQHHHDLHHXJYJD-UHFFFAOYSA-N,0.13502521761979167
AQNDDEOPVVGCPG-UHFFFAOYSA-N,0.14171636642968752
AQOKCDNYWBIDND-FTOWTWDKSA-N,0.5687635225416666
ASMXXROZKSBQIH-VITNCHFBSA-N,0.4100480174739583
ASOADIZOVZTJSR-UHFFFAOYSA-N,0.471466205625
ASUTZQLVASHGKV-JDFRZJQESA-N,0.1840021741015625
ATALOFNDEOCMKK-OITMNORJSA-N,0.5512216317447917
AURFZBICLPNKBZ-SYBPFIFISA-N,0.17221948635677084
AVAACINZEOAHHE-VFZPANTDSA-N,0.3438930580963542
AXOIZCJOOAYSMI-UHFFFAOYSA-N,0.12439050092968751
AXQACEQYCPKDMV-RZAWKFBISA-N,0.775203623828125
AYXYPKUFHZROOJ-ZETCQYMHSA-N,0.11308616444010416
AZSRSNUQCUDCGG-UHFFFAOYSA-N,0.8375462902604167
BALLNEJQLSTPIO-UHFFFAOYSA-N,0.5647368699453125
BARDROPHSZEBKC-OITMNORJSA-N,0.5509096175520833
BBAWEDCPNXPBQM-GDEBMMAJSA-N,0.584695261640625
BCEHBSKCWLPMDN-MGPLVRAMSA-N,0.36947572183854166
BCFGMOOMADDAQU-UHFFFAOYSA-N,0.7474691505208333
BFDBKMOZYNOTPK-UHFFFAOYSA-N,0.4779848156223958
BFPYWIDHMRZLRN-SLHNCBLASA-N,0.28763157729427086
BFSMGDJOXZAERB-UHFFFAOYSA-N,0.8166472158854167
BGDKAVGWHJFAGW-UHFFFAOYSA-N,0.190849778484375
BISPBXFUKNXOQY-RITPCOANSA-N,0.26401071322916664
BLIJXOOIHRSQRB-PXYINDEMSA-N,0.5764679774583333
BLJRIMJGRPQVNF-JTQLQIEISA-N,0.2837756571484375
BMEARIQHWSVDBS-SNVBAGLBSA-N,0.19399034120572914
BMGQWWVMWDBQGC-IIFHNQTCSA-N,0.5395555336822917
BMKDZUISNHGIBY-ZETCQYMHSA-N,0.21921948596093752
BMPDWHIDQYTSHX-AWEZNQCLSA-N,0.2243919578828125
BMPDWHIDQYTSHX-UHFFFAOYSA-N,0.2243919578828125
BNRNXUUZRGQAQC-UHFFFAOYSA-N,0.613647893828125
BPKAHTKRCLCHEA-UBFJEZKGSA-N,0.5146819345052084
BPQMGSKTAYIVFO-UHFFFAOYSA-N,0.35806995245833334
BPRHUIZQVSMCRT-VEUZHWNKSA-N,0.4913319458854167
BPZSYCZIITTYBL-YJYMSZOUSA-N,0.2591552448125
BQEJAAIPKDQEPV-MXHGPKCJSA-N,0.5981243965624999
BQJCRHHNABKAKU-KBQPJGBKSA-N,0.2382915552239583
BQSJTQLCZDPROO-UHFFFAOYSA-N,0.36258944173437496
BRUQQQPBMZOVGD-XFKAJCMBSA-N,0.18783217264322916
BSMCAPRUBJMWDF-KRWDZBQOSA-N,0.6428261964583334
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,0.0633395201796875
BTBHLEZXCOBLCY-QGZVFWFLSA-N,0.743021690078125
BTCRKOKVYTVOLU-SJSRKZJXSA-N,0.517812866953125
BUGYDGFZZOZRHP-UHFFFAOYSA-N,0.16933890008072916
BYBLEWFAAKGYCD-UHFFFAOYSA-N,0.334126801296875
BZZKEPGENYLQSC-FIBGUPNXSA-N,0.8347859412239583
BZZKEPGENYLQSC-UHFFFAOYSA-N,0.767801440625
CAVRKWRKTNINFF-UHFFFAOYSA-N,0.5118615036874999
CBRJPFGIXUFMTM-WDEREUQCSA-N,0.6490107677083333
CEFJVGZHQAGLHS-UHFFFAOYSA-N,0.7742714654166667
CEUORZQYGODEFX-UHFFFAOYSA-N,0.45237702765625
CGIGDMFJXJATDK-UHFFFAOYSA-N,0.3919546699739583
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,0.447385211328125
CJOFXWAVKWHTFT-XSFVSMFZSA-N,0.21153002239583332
CMHHMUWAYWTMGS-UHFFFAOYSA-N,0.14911967691145833
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,0.8758076342447917
CMWTZPSULFXXJA-VIFPVBQESA-N,0.122240315890625
COUYJEVMBVSIHV-SFHVURJKSA-N,0.42034502824479164
CPZBLNMUGSZIPR-NVXWUHKLSA-N,0.40735831796875005
CSKDFZIMJXRJGH-VWLPUNTISA-N,0.3978201871354166
CSOBIBXVIYAXFM-BYNJWEBRSA-N,0.7563673611197917
CTRLABGOLIVAIY-UHFFFAOYSA-N,0.16609845448958332
CUHVIMMYOGQXCV-NSHDSACASA-N,0.2786568591145833
CUIHSIWYWATEQL-UHFFFAOYSA-N,0.8431174863020834
CVWXJKQAOSCOAB-UHFFFAOYSA-N,0.8126597158072917
CXOFVDLJLONNDW-UHFFFAOYSA-N,0.15054355100260416
CXOXHMZGEKVPMT-UHFFFAOYSA-N,0.18882372884635415
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,0.5089426996875
CYOHGALHFOKKQC-UHFFFAOYSA-N,0.5208920585677083
CYQFCXCEBYINGO-IAGOWNOFSA-N,0.24737095826302083
CZFFBEXEKNGXKS-UHFFFAOYSA-N,0.37341351982552085
CZGVOBIGEBDYTP-VSGBNLITSA-N,0.684103163515625
DBABZHXKTCFAPX-UHFFFAOYSA-N,0.153864211421875
DBEPLOCGEIEOCV-WSBQPABSSA-N,0.5594045090625
DBGIVFWFUFKIQN-UHFFFAOYSA-N,0.15670074461979167
DCCSDBARQIPTGU-HSZRJFAPSA-N,0.3249496903151042
DCOPUUMXTXDBNB-UHFFFAOYSA-N,0.23277938973177084
DDFOUSQFMYRUQK-RCDICMHDSA-N,0.6463301286197917
DDLIGBOFAVUZHB-UHFFFAOYSA-N,0.3536857381927083
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,0.83509669234375
DEVSOMFAQLZNKR-RJRFIUFISA-N,0.5090619942161458
DHHVAGZRUROJKS-UHFFFAOYSA-N,0.11217121280989584
DHMTURDWPRKSOA-RUZDIDTESA-N,0.6132005558333333
DHSUYTOATWAVLW-WFVMDLQDSA-N,0.28465951261197914
DIWRORZWFLOCLC-UHFFFAOYSA-N,0.20541890558333334
DJXRIQMCROIRCZ-XOEOCAAJSA-N,0.68168268578125
DKNWSYNQZKUICI-UHFFFAOYSA-N,0.13018774472395833
DKULOVKANLVDEA-UHFFFAOYSA-N,0.64453411709375
DKYWVDODHFEZIM-UHFFFAOYSA-N,0.10720472815364583
DMJNNHOOLUXYBV-PQTSNVLCSA-N,0.22524638711979164
DMKSVUSAATWOCU-HROMYWEYSA-N,0.2926785745859375
DMNOVGJWPASQDL-OAQYLSRUSA-N,0.4823158386588542
