model,state,producer_alive,persisted_scored_pairs,reported_progress_pairs,requested_pairs,coverage_percent,targets_with_scores,drugs_with_scores,ensemble_checkpoint,checkpoint_scored_pairs,remaining_status,unscored_pairs,updated_utc,eta_seconds,eta_basis,eta_upper_seconds
ConPLex,COMPLETE,False,536400,536400,536400,100.0,745,720,,,FINAL_INPUT_OR_RUNTIME_MISSING,0,2026-09-21T06:59:03.500848+00:00,,,
DrugCLIP,COMPLETE_WITH_MISSING_POCKETS,False,486720,486720,536400,90.73825503355705,676,720,,,FINAL_INPUT_OR_RUNTIME_MISSING,49680,2026-09-21T07:19:33.348571+00:00,,,
Nesso-1,QUEUED_BEHIND_GPU_FRONT_QUEUE,True,103065,103065,536400,19.21420581655481,261,719,,,PENDING_NOT_A_NEGATIVE,433335,2026-09-21T08:10:09.418929+00:00,,,
ProbeMatchDTI,INFERENCE,True,296640,296780,536400,55.30201342281879,412,720,,,PENDING_NOT_A_NEGATIVE,239760,2026-09-21T08:10:23.855028+00:00,,,48191.46841119898
DTBind_occurrence,INFERENCE,True,222480,222610,536400,41.47651006711409,309,720,,,PENDING_NOT_A_NEGATIVE,313920,2026-09-21T08:09:37.812437+00:00,64340.015430006824,"410 matching native graph inputs, before any pair-specific failures",278127.1999143386
MAMMAL_pKd,INFERENCE,True,51120,51808,536400,9.53020134228188,71,720,,,PENDING_NOT_A_NEGATIVE,485280,2026-09-21T08:10:26.624432+00:00,32277.76346888014,producer estimate,
BALM,COMPLETE_WITH_NATIVE_LENGTH_FILTER,False,446400,446400,536400,83.22147651006712,620,720,,,FINAL_INPUT_OR_RUNTIME_MISSING,90000,2026-09-21T07:06:54.430359+00:00,,,
EviDTI,INFERENCE,True,33840,33840,536400,6.308724832214765,47,720,,,PENDING_NOT_A_NEGATIVE,502560,2026-09-21T08:10:16.781215+00:00,8837.534016279464,producer estimate,
GraphBAN,INFERENCE,True,0,0,536400,0.0,0,0,35.0,54720.0,PENDING_NOT_A_NEGATIVE,536400,2026-09-21T08:10:28.473284+00:00,3750.6818811517014,"current checkpoint speed, all remaining20-checkpoint work",
ScopeDTI_light,COMPLETE,False,536400,536400,536400,100.0,745,720,,,FINAL_INPUT_OR_RUNTIME_MISSING,0,2026-09-21T07:40:16.775813+00:00,,,
CheMLT-F,COMPLETE,False,536400,536400,536400,100.0,745,720,,,FINAL_INPUT_OR_RUNTIME_MISSING,0,2026-09-21T07:19:12.933756+00:00,,,
ADME-DTI,COMPLETE_WITH_NATIVE_INPUT_FAILURES,False,530440,530440,536400,98.88888888888889,745,712,,,FINAL_INPUT_OR_RUNTIME_MISSING,5960,2026-09-21T08:00:06.497022+00:00,,,
