matrix,view,direction,model_a,model_b,queries,valid_correlations,minimum_candidates,maximum_candidates,median_spearman,mean_spearman,mean_kendall_tau_b,mean_top10_overlap,random_top10_overlap,top10_overlap_ratio_to_random
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,DTBind_occurrence,719,719,118,144,0.03588755490242722,0.021375593138094805,0.011733723863991302,1.1754557232322513,0.8394388044937611,1.4002875694329278
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,DTIAM_A,719,719,118,144,0.1498687051515263,0.12542720504775573,0.09001359155605955,1.9040936742632246,0.8394388044937611,2.2682936076698565
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,DrugCLIP,719,719,118,144,0.05027966630006975,0.04864778724981366,0.033398231159832814,1.1709896596717504,0.8394388044937611,1.3949672726625226
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,Nesso-1,719,719,118,144,0.16806623265037612,0.148580421202112,0.10370395135273137,1.6385241308363945,0.8394388044937611,1.9519280286602148
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,ProbeMatchDTI,719,719,118,144,0.028018918212261493,0.02557119917746863,0.01729082088932124,1.045035674578573,0.8394388044937611,1.2449218084560683
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DTIAM_A,DTBind_occurrence,719,719,118,144,0.010824668850591085,0.006753694121910567,0.005114769484960646,1.3129346314325452,0.8394388044937611,1.5640623526146549
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DTIAM_A,Nesso-1,719,719,118,144,0.04916021167267429,0.034237339420643595,0.023377569445782564,1.4770514603616134,0.8394388044937611,1.7595701466914866
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DTIAM_A,ProbeMatchDTI,719,719,118,144,0.10672268907563025,0.10052444342288083,0.06742925424931201,1.257112150714376,0.8394388044937611,1.4975625906077819
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,DTBind_occurrence,719,719,118,144,0.07958980202250392,0.08481731131665426,0.05710050384876205,1.5438108484005564,0.8394388044937611,1.839098740892232
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,DTIAM_A,719,719,118,144,0.032701894317048855,0.034096612451948886,0.02319876554850191,1.2684283727399166,0.8394388044937611,1.5110432898141581
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,Nesso-1,719,719,118,144,0.1240198817467013,0.12875544797532082,0.08701836507718774,1.7121001390820585,0.8394388044937611,2.0395770721066104
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,ProbeMatchDTI,719,719,118,144,0.04546149038127647,0.04514529334642781,0.030731789925927573,1.1474269819193323,0.8394388044937611,1.3668977128253073
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,Nesso-1,DTBind_occurrence,719,719,118,144,0.04138299387551631,0.05580478692173984,0.03696195613243866,1.812239221140473,0.8394388044937611,2.158869963407728
