matrix,model,requested_pairs,scored_pairs,coverage_percent
PRIMARY_720X96,ConPLex,69120,69120,100.0
PRIMARY_720X96,DrugCLIP,69120,68400,98.95833333333334
PRIMARY_720X96,DTIAM_A,69120,69120,100.0
PRIMARY_720X96,Nesso-1,69120,21684,31.37152777777778
PRIMARY_720X96,ProbeMatchDTI,69120,69120,100.0
PRIMARY_720X96,DTBind_occurrence,69120,52560,76.04166666666666
PARENT_720X384,ConPLex,276480,276480,100.0
PARENT_720X384,DrugCLIP,276480,275040,99.47916666666666
PARENT_720X384,DTIAM_A,276480,276480,100.0
PARENT_720X384,Nesso-1,276480,103061,37.276114004629626
PARENT_720X384,ProbeMatchDTI,276480,276480,100.0
PARENT_720X384,DTBind_occurrence,276480,218160,78.90625
