matrix,view,direction,model_a,model_b,queries,valid_correlations,spearman_q25,spearman_q75,mean_top5_chance_adjusted,mean_top10_chance_adjusted,mean_top20_chance_adjusted,informative_top20_queries
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,DTBind_occurrence,719,719,-0.1309764696753447,0.17303756319782204,0.0497547239518548,0.036696392285288836,0.0484613962684343,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,DTIAM_A,719,719,0.005904058638072,0.25529598901777817,0.09356927870941413,0.11617378937151253,0.07876089820920455,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,DrugCLIP,719,719,-0.046488132032863755,0.14120765052246154,0.030570021831886725,0.0361826609954198,0.04619508274082234,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,Nesso-1,719,719,0.01008837293245495,0.2917698867287636,0.07992173636933289,0.08720508851271155,0.09778301768132959,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ConPLex,ProbeMatchDTI,719,719,-0.056663313110433905,0.1081494771306481,0.03457665321854348,0.022446570008610958,0.023674657118030695,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DTIAM_A,DTBind_occurrence,719,719,-0.08193003407360336,0.10888944886950865,0.06914701452227075,0.05171350391611674,0.049578812832984376,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DTIAM_A,Nesso-1,719,719,-0.06984377144351764,0.1447962887893097,0.07870989597947904,0.069589730527804,0.058152982339804836,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DTIAM_A,ProbeMatchDTI,719,719,0.0433608492848433,0.16070595919685016,0.016079055528345616,0.0455995928075546,0.07151846863179082,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,DTBind_occurrence,719,719,0.001040924844514,0.16109211076199081,0.05926876714447912,0.07688414559624378,0.09363357692734744,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,DTIAM_A,719,719,-0.06443526563167634,0.13076840905853865,0.042428715962940275,0.04684041654145883,0.039294856249830624,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,Nesso-1,719,719,0.0308076949788179,0.22760646631533965,0.08713915324621142,0.09526895141077371,0.09934126154690402,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,DrugCLIP,ProbeMatchDTI,719,719,-0.0285173526132467,0.1156155160890953,0.0255393677244437,0.033630067716730355,0.04067959252432066,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,Nesso-1,DTBind_occurrence,719,719,-0.07133599202392821,0.18361034113775887,0.09237333844094638,0.106205284891218,0.12225206762501391,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,Nesso-1,ProbeMatchDTI,719,719,-0.1144246128203347,0.09210889863314095,0.058401560187890805,0.061979462694755384,0.05877422967130818,719
PARENT_720X384,ALL_SIX_COMMON,drug_to_target,ProbeMatchDTI,DTBind_occurrence,719,719,0.3066186057212976,0.43715371308047823,0.12426894052907864,0.14295597130550144,0.18095647273484922,719
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,ConPLex,DTBind_occurrence,119,119,-0.13674470953658485,0.21741039623523176,0.014931611224245932,0.016436739476140657,0.027097040938004486,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,ConPLex,DTIAM_A,119,119,-0.0345399186083923,0.1341755095885942,0.08601416189157167,0.06075054398242836,0.04846164070940547,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,ConPLex,DrugCLIP,119,119,-0.04199262560671225,0.1398619764257108,0.013239169541690556,0.021563638355682844,0.028609706089902154,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,ConPLex,Nesso-1,119,119,-0.0104030230427246,0.19916563680549226,0.053857769923019556,0.05606350696734025,0.06014517556962051,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,ConPLex,ProbeMatchDTI,119,119,-0.15470612605260897,0.0613033252880015,0.007084836150580101,0.006752778701165199,0.007187491564769079,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DTIAM_A,DTBind_occurrence,119,119,-0.1109844227346799,0.03957990868209865,0.02170137795446743,0.006210476897766574,0.0065536101881031,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DTIAM_A,Nesso-1,119,119,-0.17544553499054194,0.046022089335387595,0.05893509497068568,0.06332087721737703,0.05238015847686552,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DTIAM_A,ProbeMatchDTI,119,119,-0.034296926774540853,0.2012418515210374,0.02080814484422987,0.03463052942804973,0.047208281644506536,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DrugCLIP,DTBind_occurrence,119,119,-0.04531368260010245,0.2437179209097313,0.006469402811469056,0.01815488416289148,0.030785059995331848,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DrugCLIP,DTIAM_A,119,119,-0.0261566142729796,0.17515014701318776,0.014931611224245932,0.024106436409921224,0.030741848930032782,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DrugCLIP,Nesso-1,119,119,-0.02493452815425575,0.1878757120368612,0.03862579478002118,0.052228658500449957,0.06145614938825154,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,DrugCLIP,ProbeMatchDTI,119,119,0.00307481764739625,0.19373561877420226,0.013239169541690556,0.018063644886336536,0.022976831837277792,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,Nesso-1,DTBind_occurrence,119,119,0.13468348392380086,0.3792587168880699,0.050472886557908804,0.06671586381981325,0.09603135286019826,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,Nesso-1,ProbeMatchDTI,119,119,-0.0832275528402054,0.18879131944578958,0.024932402984800418,0.02862561810490977,0.035171796874875955,119
PARENT_720X384,ALL_SIX_COMMON,target_to_drug,ProbeMatchDTI,DTBind_occurrence,119,119,0.09477627781333514,0.34555495995845786,0.0385488656126323,0.03938212618163769,0.05108358834666752,119
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,DTBind_occurrence,720,720,-0.07136355288390685,0.17679723145537551,0.023327740492170027,0.03337599544937429,0.03536474283470751,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,DTIAM_A,720,720,0.030175029164803822,0.2385524281512506,0.051257695690413385,0.07251336898395722,0.08021978021978023,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,DrugCLIP,720,720,-0.012070706483097424,0.14288109743148844,0.03069235681304648,0.0346598715651135,0.039687116329036216,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,Nesso-1,719,719,0.029940166075604048,0.30279405162094497,0.0661789192085404,0.07205004895406966,0.08625726429419586,719
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ConPLex,ProbeMatchDTI,720,720,-0.05821212676428038,0.047233531206747746,0.023784734602676567,0.03185801941951674,0.030425794711509,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DTIAM_A,DTBind_occurrence,720,720,-0.008564688596778775,0.1624344520980505,0.04761744966442953,0.05448947667804323,0.049407391048292115,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DTIAM_A,Nesso-1,719,719,-0.0641477910177192,0.1395226758884494,0.07681221899119953,0.06564072647783739,0.057109938520709766,719
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DTIAM_A,ProbeMatchDTI,720,720,0.08622884947950216,0.16867954762402632,0.038160684070974324,0.04377307983725096,0.048832583118297405,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,DTBind_occurrence,720,720,0.03128008862231632,0.17861425825398852,0.03533137583892618,0.057792946530147896,0.074315371024735,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,DTIAM_A,720,720,-0.0043721330043783,0.13457265868504908,0.041622458001768364,0.05698028673835125,0.06273403928790669,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,Nesso-1,719,719,0.014404384946788251,0.22153249806830866,0.08234988467758005,0.08191965020868133,0.08319668166960988,719
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,ProbeMatchDTI,720,720,-0.016981672498005123,0.10542519502055392,0.02968161179368077,0.03246268761473734,0.04100026539598363,720
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,Nesso-1,DTBind_occurrence,719,719,-0.07133599202392821,0.18361034113775887,0.09237333844094638,0.106205284891218,0.12225206762501391,719
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,Nesso-1,ProbeMatchDTI,719,719,-0.12580117555893555,0.07585401687514359,0.055210104794190445,0.05958398018732846,0.0606049501744224,719
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ProbeMatchDTI,DTBind_occurrence,720,720,0.2810601700255403,0.38291008266389504,0.09687277942078089,0.13067678356666024,0.1596834516466769,720
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ConPLex,DTBind_occurrence,303,303,-0.06960248335392086,0.22243012784595756,0.0195942671190196,0.023734486124668806,0.035247524752475244,303
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ConPLex,DTIAM_A,384,384,-0.006904980470252775,0.13414747049598735,0.10944055944055946,0.09366197183098592,0.0765625,384
