target_chembl_id,scope,rows,positive,negative,formally_evaluable,auroc_primary_cnn_affinity,average_precision_primary_cnn_affinity,auroc_secondary_vina,average_precision_secondary_vina,bedroc_alpha20_primary_cnn_affinity,bedroc_alpha20_secondary_vina,bootstrap_auroc_ci_low,bootstrap_auroc_ci_high,permutation_p_one_sided,ef_5pct,protocol_target_id,base_target_chembl_id,alternate_index,pdb_id,same_pocket_jaccard,permutation_bh_q,alternate_protocol_gate_pass
CHEMBL331__ALT1,GATE_A,32,16,16,True,0.72265625,0.7702718666137783,0.67578125,0.6953316433066196,0.9792479650725385,0.7426114787044098,0.5294117647058824,0.8744943240454076,0.01879624075184963,2.0,CHEMBL331__ALT1,CHEMBL331,1,9csk,0.6875,0.028194361127774445,True
CHEMBL4128__ALT1,GATE_A,32,16,16,True,0.74609375,0.6399657089019511,0.86328125,0.9129502442002442,0.26430949306778606,0.9994084505213472,0.5357003348214286,0.9231249999999998,0.007198560287942412,0.0,CHEMBL4128__ALT1,CHEMBL4128,1,4x3j,0.7619047619047619,0.021595680863827234,True
CHEMBL4128__ALT2,GATE_A,32,16,16,True,0.6796875,0.6062194012672587,0.6640625,0.5953561643329789,0.24727749222316453,0.21414367500410178,0.47222222222222227,0.8628034547152191,0.04339132173565287,0.0,CHEMBL4128__ALT2,CHEMBL4128,2,2p4i,0.7142857142857143,0.043391321735652875,True
