pair_id,biomaster,drugclip,dtiam,conplex
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL4895,-8.636795,0.23799695,0.8894656,0.0
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL4898,-10.796523,0.21528685,0.92383856,0.0
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL5311,-13.030884,0.2261796,0.6428813,0.0
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL5331,-11.165765,0.10894831,0.8000974,0.14683484
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL5568,-10.015996,0.14874081,0.9048089,0.050305855
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL5608,-9.578723,0.16917856,0.9430022,0.0
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,-11.58062,-0.20477332,0.778692,0.023484694
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,-12.332178,0.009593057,0.914884,0.0
BMKDZUISNHGIBY-ZETCQYMHSA-N__CHEMBL4073,-8.34023,0.08821872,0.19310386,0.01982726
BMKDZUISNHGIBY-ZETCQYMHSA-N__CHEMBL4588,-5.699665,-0.03548014,0.39452565,0.0032713853
BNRNXUUZRGQAQC-UHFFFAOYSA-N__CHEMBL1827,4.7265463,0.4548854,0.9163044,0.0
BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,-9.667471,-0.22263215,0.29415593,0.0
BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,-5.0289073,0.37979817,0.6612353,0.016721046
BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,-6.154356,0.03438638,0.5219197,0.0
BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,-6.2590632,-0.051856488,0.28941214,0.008583007
BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL205,-4.434307,-0.12159803,0.18146747,0.16287166
BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,-7.4457755,-0.14380305,0.5631463,0.15122981
BQSJTQLCZDPROO-UHFFFAOYSA-N__CHEMBL1929,-2.8384578,0.08445705,0.9593273,0.0
BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL205,-5.8397937,-0.12783252,0.1450472,0.041799575
BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,-9.920863,-0.02222755,0.3609812,0.04101756
BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL3310,-10.787656,0.14846148,0.74990916,0.009642969
BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,-13.596448,-0.26353925,0.84086454,0.0
BSYNRYMUTXBXSQ-UHFFFAOYSA-N__CHEMBL2326,-2.0876586,0.124041,0.1153624,0.0011727241
BSYNRYMUTXBXSQ-UHFFFAOYSA-N__CHEMBL261,-3.6758146,0.07457546,0.028520122,0.01726123
BSYNRYMUTXBXSQ-UHFFFAOYSA-N__CHEMBL3242,-1.5419289,0.12518029,0.029504018,0.056595642
BSYNRYMUTXBXSQ-UHFFFAOYSA-N__CHEMBL3729,-3.0407608,0.1451369,0.06277336,0.064514525
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,-11.725005,0.26966083,0.3804915,0.10379678
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,-14.637033,0.11562344,0.19237226,0.12204191
BYBLEWFAAKGYCD-UHFFFAOYSA-N__CHEMBL4302,-14.766914,0.059506733,0.1585683,0.0025103546
BZZKEPGENYLQSC-FIBGUPNXSA-N__CHEMBL2971,6.0618634,0.23773898,0.8598829,0.0
CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2039,-1.594274,0.33470324,0.23674965,0.0
CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2695,-14.528,-0.088525325,0.42007792,0.045331102
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,-8.648266,-0.08009792,0.7821399,0.005056351
CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL230,-1.7216858,0.5647325,0.6492098,0.010859093
