target_id,labeled_pair_tasks,unique_molecules,positive,accessions,chembl_ids,names,identity_tier
SEQ:074cc29440ec26e5804d94f8f250844a95475c79a541bca6de2af6413d38a9af,400,391,208,O14733,CHEMBL3530,Dual specificity mitogen-activated protein kinase kinase 7,ChEMBL37_human_single_protein
SEQ:07505bc0d400eb52c0f69a9efdfea1944fb17a7261c3008f1842f3eac5714f18,12,12,0,P15382,CHEMBL4872,Potassium voltage-gated channel subfamily E member 1,ChEMBL37_human_single_protein
SEQ:0752888ca64c34a4a86ea58b915dce94fe40bdd439d73d30ba7e924ae7ae0234,1,1,1,Q9NYV9,CHEMBL4523471,Taste receptor type 2 member 13,ChEMBL37_human_single_protein
SEQ:075cd160a22e392ad92776143a4af52ed1c6ac1e68ba82bc253ba8dd9daef9c1,982,970,510,P00749,CHEMBL3286,Urokinase-type plasminogen activator,ChEMBL37_human_single_protein
SEQ:076621fb418cdba70cd223fb47dfeeec524a1dc685a22aea1fe1a3399d3a4917,1,1,0,Q92698,CHEMBL2146297,DNA repair and recombination protein RAD54-like,ChEMBL37_human_single_protein
SEQ:07709ab07a513c4dce1a7959395be60cbd9c5b95c7f6810f9e2bbbac5fb11a0a,376,373,10,Q15831,CHEMBL5606,Serine/threonine-protein kinase STK11,ChEMBL37_human_single_protein
SEQ:0792bebf329e1096fad87704ffde370a5de617e20765c0ba29243f7622a7effa,3,3,3,O60733,CHEMBL3213,85/88 kDa calcium-independent phospholipase A2,ChEMBL37_human_single_protein
SEQ:0798437def06af18f0ee151fb68a7ef37e16370ca11546ce6c0bc2b644f3a960,482,481,98,P27448,CHEMBL5600,MAP/microtubule affinity-regulating kinase 3,ChEMBL37_human_single_protein
SEQ:0799c348ddffc5d2e54067ca87fc51e654bd0df9c8902305ef6833b14b16b0d4,1,1,1,Q9P0S9,CHEMBL6067360,Transmembrane protein 14C,ChEMBL37_human_single_protein
SEQ:07bcaa90ff5dd47e7cfac1beed8e4064c7b6f27cf4a4a0492219342dc2e4129b,238,238,13,Q86TW2,CHEMBL4105885,AarF domain-containing protein kinase 1,ChEMBL37_human_single_protein
SEQ:07e30917478acb4fc71de076053c26962a6e837b697aa756a942ddb789640df9,15,15,13,O95503,CHEMBL3779762,Chromobox protein homolog 6,ChEMBL37_human_single_protein
SEQ:07f12b0ca60cad9c90c0df0541330c70ef0d44fac1f487ecdecb46cc620b63f6,3,3,3,P22674,CHEMBL4105895,Cyclin-O,ChEMBL37_human_single_protein
SEQ:07f40a8b41ff608a24d14ee9cda1dc311cf92f51d1a07770c83a63e1248ec9fd,2,2,1,Q92564,CHEMBL4295914,DCN1-like protein 4,ChEMBL37_human_single_protein
SEQ:0807e89052573fd6f64c94379482562f8b84856431646a459e25b215e5d52e66,1,1,1,P49406,CHEMBL4295771,Large ribosomal subunit protein bL19m,ChEMBL37_human_single_protein
SEQ:0810d4501c0594713c19a489b63f4be4f8751688ea5208af68ac76f7b615b3a3,228,228,214,Q93008,CHEMBL2406899,Ubiquitin carboxyl-terminal hydrolase 9X,ChEMBL37_human_single_protein
SEQ:081c4d17fb8ac34f1390d9083195ce614a70747707cdff2588334a50d8c85144,35,35,1,Q9Y265,CHEMBL3259467,RuvB-like 1,ChEMBL37_human_single_protein
SEQ:082ef6cfa8a9d5c17782cc036623a4c0ece915fc6a420e54678ff55dab70b98e,966,959,373,P00747,CHEMBL1801,Plasminogen,ChEMBL37_human_single_protein
SEQ:082faadd2137ca7ca0b79901153ae7d795e5182ab858c1eb102864cbbb6e409e,9,9,0,Q76I76,CHEMBL3351198,Protein phosphatase Slingshot homolog 2,ChEMBL37_human_single_protein
SEQ:083d74d6b6ac13775b74eb4e3031f9b230c0ca191f33a2f68858130a582cada1,1,1,1,O75955,CHEMBL5209841,Flotillin-1,ChEMBL37_human_single_protein
SEQ:084144427674914cba4b07ab865916ee9dc6c8c6a2a8752c081d60c89ddd4ce9,166,166,11,Q96S53,CHEMBL2069163,Dual specificity testis-specific protein kinase 2,ChEMBL37_human_single_protein
SEQ:085adf2253e1a27d598323ea2c077647f8fd3f37828c6ff2594a7065f41d3b78,1,1,1,Q9H939,CHEMBL6067297,Proline-serine-threonine phosphatase-interacting protein 2,ChEMBL37_human_single_protein
SEQ:085c3182089b94015013f0db9968ed23a635fdc1b61ccdeac56505bb7ae26b15,2,2,0,Q9H227,CHEMBL3865,Cytosolic beta-glucosidase,ChEMBL37_human_single_protein
SEQ:085f64e87f122bc4cc9fda3e06841fd9d75f204a8d3f0a012f5badfdeefa6068,21,21,8,P18846,CHEMBL3255,Cyclic AMP-dependent transcription factor ATF-1,ChEMBL37_human_single_protein
SEQ:0863dab9da2afcd2d9e52bb981b6fdc17d07cc5e3853cc4b06c5280c55bbef16,2,2,1,Q96G03,CHEMBL6067285,Phosphopentomutase,ChEMBL37_human_single_protein
SEQ:087b2c0fc91ff390f2f9b1d14bc8dc66bbfd16de688d4ffa44f60d655cb0f868,1,1,0,O95625,CHEMBL5069363,Zinc finger and BTB domain-containing protein 11,ChEMBL37_human_single_protein
SEQ:087ec39e04049bcd985131f9b3906f227ec88fffbfe1f1b051ffaf0619e2c8b4,35,35,20,P07288,CHEMBL2099,Prostate-specific antigen,ChEMBL37_human_single_protein
SEQ:0882738ecc195a7657da38a5512d99a4d254455062d0ef561b3ad17e7f9e0a96,4,4,3,Q13309,CHEMBL3632458,S-phase kinase-associated protein 2,ChEMBL37_human_single_protein
SEQ:08ab69187b319cff68eba5e95e6d06f77a7a8e75e4b1a83c000f7ed2c160d37f,5128,4918,4124,P31645,CHEMBL228,Sodium-dependent serotonin transporter,ChEMBL37_human_single_protein
SEQ:08ae15df83f50af69ddd2a34f91d5f1af221e9b0d1b005498d5c3497460e0a89,1,1,1,Q9UNE7,CHEMBL5465258,E3 ubiquitin-protein ligase CHIP,ChEMBL37_human_single_protein
SEQ:08af8599be5732d7e06668e812a913da44dddd0f4b800fb923f2d66ffb097d54,388,382,32,P54756,CHEMBL3987,Ephrin type-A receptor 5,ChEMBL37_human_single_protein
SEQ:08c661e11cb9a5006f05208246f1a9163e07947d799494b8abde80fde03248ea,1,1,1,Q99729,CHEMBL6067395,Heterogeneous nuclear ribonucleoprotein A/B,ChEMBL37_human_single_protein
SEQ:08da799bbf699e9a2c54e8409c6e2baafe3952854d992ce3de6f78ffa02d9508,11,11,11,Q9UI42,CHEMBL2644,Carboxypeptidase A4,ChEMBL37_human_single_protein
SEQ:08dd546ac4cae44a46eb653383e02b1a176949a2b42b2a1426bc0004637a0a54,133,133,95,Q96D31,CHEMBL2384891,Calcium release-activated calcium channel protein 1,ChEMBL37_human_single_protein
SEQ:08e3784eb5ad2f98879c2b1adf64e099fc381e78944007e2c2f3e0674f3176ef,2,2,0,Q08257,CHEMBL6118,Quinone oxidoreductase,ChEMBL37_human_single_protein
SEQ:08e94d00e198158ed1db5b7682cd0bf55b72692b6ec3afd93489a9c743eb745a,73,73,40,P34896,CHEMBL1772927,"Serine hydroxymethyltransferase, cytosolic",ChEMBL37_human_single_protein
SEQ:08f07cc12ba9601e17da325c37d347996aa047f34f0d9498555d1ab1b6d4ac4d,79,79,3,P04183,CHEMBL2883,"Thymidine kinase, cytosolic",ChEMBL37_human_single_protein
SEQ:0908a4107ab9712aa23d0533553731dc9b079788c469909bc6a41dee501c4d8b,30,30,24,Q8TDZ9,,Carboxylic ester hydrolase,BindingDB_source_reported_human_sequence
SEQ:090cb87ee8a74cb5312ef28ac2eea15e9b8e3eb2456505d13e1ad7438978c71b,1,1,1,Q9BQ69,CHEMBL4295934,ADP-ribose glycohydrolase MACROD1,ChEMBL37_human_single_protein
SEQ:091395423a50e5ec99e589e7fb0580f30d25ae50e08af23b00e5e75f118f7115,97,97,48,O15382,CHEMBL3616354,"Branched-chain-amino-acid aminotransferase, mitochondrial",ChEMBL37_human_single_protein
SEQ:09210c850e66949ebc252393e45d1259fbd07bd5ebd6901cb00a7b2cd27371f9,1,1,1,Q9H9B4,CHEMBL6067362,Sideroflexin-1,ChEMBL37_human_single_protein
SEQ:092555f0ab071d62e2c26318e4ce09ad60a2404560e257f75c3d3ffe25e23a6d,395,393,395,Q9Y6L7,CHEMBL4295995,Tolloid-like protein 2,ChEMBL37_human_single_protein
SEQ:092638a5667f9190f0f1b755080f09974f3f54a85ef193eefb41b832ae5620d4,63,63,34,P15086,CHEMBL2552,Carboxypeptidase B,ChEMBL37_human_single_protein
SEQ:0949de13d2ed928a394e2914534f809b2ef6d823f65084aba899cd4d7792329f,2,1,2,Q9NZL4,CHEMBL5724653,Hsp70-binding protein 1,ChEMBL37_human_single_protein
SEQ:0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,347,343,184,P09237,CHEMBL4073,Matrilysin,ChEMBL37_human_single_protein
SEQ:0980495a2ae93c86f320bb2afe6c4f750648d7820c23e77d8501027ba2fbba12,39,39,0,Q9NRW4,CHEMBL3924,Dual specificity protein phosphatase 22,ChEMBL37_human_single_protein
SEQ:098b3fbefa3a013be7b7ba3cd75a2525fa7ef485f024935603e42a578984e5f5,28,28,28,Q16204,,Coiled-coil domain-containing protein 6,BindingDB_source_reported_human_sequence
SEQ:098f8e95556545c4417a8526c58549235f89930e00529d662ba941c1c2e8a9dd,1079,1057,745,Q02763,CHEMBL4128,Angiopoietin-1 receptor,ChEMBL37_human_single_protein
SEQ:099d334605bfb4edb5cb85224874841ee1502ff1d065d464258abd2698c657c7,34,34,0,P02675,CHEMBL2048,Fibrinogen beta chain,ChEMBL37_human_single_protein
SEQ:09a42c462cbc7bcf6075806df223dc50973cfb6241867ab956def2a4f117b366,1,1,0,P55061,CHEMBL5724791,Bax inhibitor 1,ChEMBL37_human_single_protein
SEQ:09bf320352cd59a0c6e33bd956c4cf0426ce33ac17175fbc01afbf9148ae455b,6,6,0,Q5T601,CHEMBL4523872,Adhesion G-protein coupled receptor F1,ChEMBL37_human_single_protein
