target_id,labeled_pair_tasks,unique_molecules,positive,accessions,chembl_ids,names,identity_tier
SEQ:0451c5f5ef052711dec57df65d688e28c0027e49dc4be546d73beb880c6181ed,249,245,164,Q8NBP7,CHEMBL2929,Proprotein convertase subtilisin/kexin type 9,ChEMBL37_human_single_protein
SEQ:0457c1e6c728cb48f481e7993bd74598af5d7f176913012e582d952294ec0b8c,2,2,0,P10606,CHEMBL6066966,"Cytochrome c oxidase subunit 5B, mitochondrial",ChEMBL37_human_single_protein
SEQ:045de6b23d69dba05552c9aae2f5507478a5c7eddd1a1641df8082b145478595,873,860,482,P35228,CHEMBL4481,"Nitric oxide synthase, inducible",ChEMBL37_human_single_protein
SEQ:0472f1c5d0009e840b47541564d7889ed2461d4f06ea85258ecc0e027c476537,48,48,5,P61981,CHEMBL1293296,14-3-3 protein gamma,ChEMBL37_human_single_protein
SEQ:04770a360e7954ab34f507b43e99f4bf5e82130f35800ddd1a5c8b5cbeeadc80,410,407,81,Q9NSY1,CHEMBL4522,BMP-2-inducible protein kinase,ChEMBL37_human_single_protein
SEQ:048414ac56487de43456c4d8277feabecbeb4db4194a42f3cd885bfd823b008f,1,1,0,Q969T7,CHEMBL4295921,7-methylguanosine phosphate-specific 5'-nucleotidase,ChEMBL37_human_single_protein
SEQ:0485206622621e81abb7366851480e380fd9ea6f6148bec63384662578658e81,1339,1332,854,Q14164,CHEMBL3529,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,ChEMBL37_human_single_protein
SEQ:048a74611daa88e5aa39af46f5d25ab09e1129e49c7f9ed3aa9f5479d98f10a9,75,75,16,P09668,CHEMBL2225,Pro-cathepsin H,ChEMBL37_human_single_protein
SEQ:048ec9910e4cebfb8dba760f36c938dd7f122dd7d0b91a28b1973d702209d1f9,1,1,0,O15347,CHEMBL6067046,High mobility group protein B3,ChEMBL37_human_single_protein
SEQ:04bc46ae60ad65d0081fe9253aa2b6bcc0b444a903b8932458f137761d79f58b,1,1,0,P16402,CHEMBL6066306,Histone H1.3,ChEMBL37_human_single_protein
SEQ:04cd419d229d9fc0613db7be76c62961db3ca033dcda09e97a55147fade8707c,2,2,1,O43583,CHEMBL5724775,Density-regulated protein,ChEMBL37_human_single_protein
SEQ:04dd2e46d11766ee2ef7dd569987110a4a4298eb115ce7bed6744aa319a9c7fc,2,1,2,P51825,CHEMBL5724736,AF4/FMR2 family member 1,ChEMBL37_human_single_protein
SEQ:04e52a2de93ec4e08ddcc8951b75e73dcc63a4a3b7dac6dd3ab173ba29e5e11b,274,274,250,Q96KB5,CHEMBL4896,Lymphokine-activated killer T-cell-originated protein kinase,ChEMBL37_human_single_protein
