protocol,model,fold,rows,micro_auprc,drug_macro_auprc,drug_macro_auroc,target_macro_auprc,target_macro_auroc
S2_HOMOLOGY_COLD_TARGET,BioMaster_V2,0,17005,0.7835041150531321,0.6546933063363806,0.49659430438842195,0.7463467774174267,0.7114696576861914
S2_HOMOLOGY_COLD_TARGET,BioMaster_V2,1,17239,0.8026269842911726,0.5698114360947695,0.5102731481481482,0.7839491982531577,0.7668359735402752
S2_HOMOLOGY_COLD_TARGET,BioMaster_V2,2,17163,0.787721633748036,0.6486373337213673,0.5860605353252412,0.7250174071418154,0.695594169293728
S2_HOMOLOGY_COLD_TARGET,BioMaster_V2,3,18074,0.7699662480862708,0.7131694393179531,0.5780193236714977,0.7375816315466452,0.7094473999653368
S2_HOMOLOGY_COLD_TARGET,BioMaster_V2,4,17192,0.806735300564097,0.6494718720821662,0.5479309169620588,0.7795240300783086,0.7630328341890421
S2_HOMOLOGY_COLD_TARGET,DTIAM_compat_retrain,0,17005,0.8100382566457298,0.7647245457717828,0.6942167473049825,0.7681250068333383,0.7541827712880128
S2_HOMOLOGY_COLD_TARGET,DTIAM_compat_retrain,1,17239,0.8144248396250571,0.5673807518099185,0.5334616402116402,0.7999711566359379,0.7774320605069585
S2_HOMOLOGY_COLD_TARGET,DTIAM_compat_retrain,2,17163,0.8189964977955807,0.6592495920927294,0.5988665836705053,0.7530783028235722,0.7536736633447403
S2_HOMOLOGY_COLD_TARGET,DTIAM_compat_retrain,3,18074,0.7829791084978328,0.7619924758493228,0.64924578527063,0.7639320500333616,0.7505829231876561
S2_HOMOLOGY_COLD_TARGET,DTIAM_compat_retrain,4,17192,0.8463108660851495,0.718443488948168,0.6510171345378959,0.800502297640841,0.7947354372440311
