protocol,model,rows,positives,two_class_drugs,micro_auprc,drug_macro_auprc,drug_macro_auroc,target_macro_auprc,target_macro_auroc,drug_recall_at_20,bio_suite,source
S1_SCAFFOLD_COLD_DRUG,BioMaster_V2,86673,45983,1163,0.9306560967361477,0.8551388528891878,0.8275745168733784,0.8812213240949008,0.8834184537784543,0.9717193755296972,biomaster_odti_v2_v21_s1_formal,outputs/old_drug_target_sota_v1/biomaster_odti_v2_v21_s1_formal/V2_MULTI_SEED_SUMMARY.json
S1_SCAFFOLD_COLD_DRUG,DTIAM_compat_retrain,86673,45983,1163,0.8828592902312902,0.8413058400680935,0.8094424073144645,0.8385977011609477,0.8436813200994994,0.9762582372419442,biomaster_odti_v2_v21_s1_formal,outputs/old_drug_target_sota_v1/public_retrained_v1/dtiam_same_data_comparison_v1
S2_HOMOLOGY_COLD_TARGET,BioMaster_V2,86673,45983,1163,0.7899357006819548,0.5502798073401644,0.35336946470316516,0.754323642229758,0.7289348667640706,0.9257191493539616,biomaster_odti_v2_v21_s2_formal,outputs/old_drug_target_sota_v1/biomaster_odti_v2_v21_s2_formal/V2_MULTI_SEED_SUMMARY.json
S2_HOMOLOGY_COLD_TARGET,DTIAM_compat_retrain,86673,45983,1163,0.8144691747760495,0.5786863921991108,0.39107625038554134,0.7769058191362964,0.7657566889614987,0.9223203841753168,biomaster_odti_v2_v21_s2_formal,outputs/old_drug_target_sota_v1/public_retrained_v1/dtiam_same_data_comparison_v1
S3_STRICT_DOUBLE_COLD,BioMaster_V2,17732,9459,171,0.6424530172645364,0.6212523703733961,0.49589482966675946,0.6750138384356242,0.6370318493863727,1.0,biomaster_odti_v2_v21_s3_formal,outputs/old_drug_target_sota_v1/biomaster_odti_v2_v21_s3_formal/V2_MULTI_SEED_SUMMARY.json
S3_STRICT_DOUBLE_COLD,DTIAM_compat_retrain,17732,9459,171,0.6516699519601021,0.6597106810390018,0.5652464494569758,0.6902886917688383,0.665763086354134,1.0,biomaster_odti_v2_v21_s3_formal,outputs/old_drug_target_sota_v1/public_retrained_v1/dtiam_same_data_comparison_v1
S4_FIRST_SEEN_TEMPORAL_2023_2025,BioMaster_V2,7839,4411,83,0.832525608053382,0.825081277490916,0.7282463186077643,0.7831583686504929,0.7199170809632104,1.0,biomaster_odti_v2_s4_esm2_formal,outputs/old_drug_target_sota_v1/biomaster_odti_v2_s4_esm2_formal/V2_MULTI_SEED_SUMMARY.json
S4_FIRST_SEEN_TEMPORAL_2023_2025,DTIAM_compat_retrain,7839,4411,83,0.7961965751695952,0.8333333333333333,0.7503650967506389,0.7653057908031364,0.7269177474109734,1.0,biomaster_odti_v2_s4_esm2_formal,outputs/old_drug_target_sota_v1/public_retrained_v1/dtiam_same_data_comparison_v1
S5_OLD_DRUG_ENTITY_COLD,BioMaster_V2,2556,354,75,0.5569399771378981,0.7759318944049793,0.8061375504571736,0.6414943474152629,0.7213380529613503,0.9302041683806389,biomaster_odti_v2_s5_esm2_formal,outputs/old_drug_target_sota_v1/biomaster_odti_v2_s5_esm2_formal/V2_MULTI_SEED_SUMMARY.json
S5_OLD_DRUG_ENTITY_COLD,DTIAM_compat_retrain,2556,354,75,0.3988323542436851,0.7364994384986019,0.8263827011339304,0.6060516504072574,0.7670935447288968,0.9480690921279156,biomaster_odti_v2_s5_esm2_formal,outputs/old_drug_target_sota_v1/public_retrained_v1/dtiam_same_data_comparison_v1
