scope,evidence_status,queries,candidate_rows,held_future_positives,candidate_targets_mean,macro_best_positive_rank,macro_mean_positive_rank,macro_mrr,macro_mean_reciprocal_log_rank,macro_mean_top_percentile,macro_positive_retrieval_ap,macro_recall_at_1,macro_hit_at_1,macro_recall_at_5,macro_hit_at_5,macro_recall_at_10,macro_hit_at_10,macro_recall_at_20,macro_hit_at_20,macro_recall_at_50,macro_hit_at_50,macro_recall_at_100,macro_hit_at_100
frozen_core_384,retrospective_temporal_aggregation_contamination_confirmed,20,7558,27,377.9,77.25,79.28333333333333,0.19448109355426152,0.286530970077671,0.7929779786182036,0.15214017205238112,0.06666666666666667,0.1,0.15833333333333333,0.25,0.24166666666666664,0.3,0.4333333333333333,0.5,0.55,0.55,0.75,0.75
primary_450_precalibration,retrospective_temporal_aggregation_contamination_confirmed,20,8866,27,443.3,89.5,91.85833333333332,0.18469391161735454,0.278432887813156,0.7953426584373384,0.1446480524025306,0.06666666666666667,0.1,0.15833333333333333,0.25,0.24166666666666664,0.3,0.4333333333333333,0.5,0.5,0.5,0.75,0.75
active_routed_500_diagnostic,retrospective_temporal_aggregation_contamination_confirmed,20,9866,27,493.3,102.9,105.95,0.18143410299678844,0.271787978126974,0.7874917956900359,0.1392839526785347,0.06666666666666667,0.1,0.15833333333333333,0.25,0.225,0.3,0.3833333333333333,0.45,0.4833333333333333,0.5,0.7,0.7
registry_745_diagnostic,retrospective_temporal_aggregation_contamination_confirmed,20,14766,27,738.3,174.15,182.975,0.16337082152208374,0.24689005230384914,0.7535273341452863,0.11978699533761258,0.06666666666666667,0.1,0.14166666666666666,0.2,0.15833333333333333,0.25,0.2333333333333333,0.35,0.4583333333333333,0.5,0.4583333333333333,0.5
