variant,seeds,selected_epochs,test_measured_drug_macro_ap_mean,test_measured_drug_macro_ap_min,test_measured_drug_macro_ap_max,test_dense_macro_positive_retrieval_ap_mean,test_dense_macro_positive_retrieval_ap_min,test_dense_macro_positive_retrieval_ap_max,test_dense_macro_recall_at_5_mean,test_dense_macro_recall_at_5_min,test_dense_macro_recall_at_5_max,test_dense_macro_recall_at_20_mean,test_dense_macro_recall_at_20_min,test_dense_macro_recall_at_20_max,seconds_mean,seconds_min,seconds_max,peak_gpu_allocated_gib_mean,peak_gpu_allocated_gib_min,peak_gpu_allocated_gib_max
A_global_pair,2,"2,3",0.9312816092617824,0.9311570681825632,0.9314061503410016,0.2361400687129823,0.2265193405014838,0.2457607969244808,0.3055989583333333,0.2830729166666667,0.328125,0.5657552083333333,0.54921875,0.5822916666666667,114.91231182729824,113.92992478888482,115.89469886571167,0.6632299423217773,0.6632299423217773,0.6632299423217773
B_support_pair,2,"1,2",0.9495773142538892,0.9458966860896122,0.9532579424181664,0.6630490726771826,0.6515235243082573,0.6745746210461079,0.761328125,0.74375,0.77890625,0.87265625,0.8609375,0.884375,179.274283407256,178.3482711352408,180.2002956792712,0.9036080837249756,0.9031939506530762,0.904022216796875
C_global_rank,2,"5,3",0.93477352891405,0.9335654428915224,0.9359816149365776,0.207204970889365,0.2047754922459165,0.2096344495328136,0.2696614583333333,0.24921875,0.2901041666666666,0.5191406249999999,0.50234375,0.5359375,177.01163012860343,175.5842981096357,178.43896214757115,0.6632299423217773,0.6632299423217773,0.6632299423217773
D_support_rank,2,"1,3",0.9510753485643482,0.94889275471053,0.9532579424181664,0.6399847619704019,0.6053949028946959,0.6745746210461079,0.724609375,0.70546875,0.74375,0.835546875,0.78671875,0.884375,248.53455880237743,248.5251134829596,248.5440041217953,0.9036080837249756,0.9031939506530762,0.904022216796875
E_local_rank,2,"6,6",0.9278431700400784,0.925269134238348,0.9304172058418088,0.0597052003329143,0.0533827164300121,0.0660276842358166,0.0484375,0.04609375,0.05078125,0.229296875,0.2140625,0.24453125,4509.012975802179,4485.826405258849,4532.19954634551,3.754535436630249,3.753963470458984,3.7551074028015137
F_local_support_rank,2,"5,5",0.9516665323347382,0.9497833489554198,0.9535497157140564,0.3552951930124733,0.2914170090277142,0.4191733769972325,0.5376302083333333,0.4901041666666667,0.58515625,0.78671875,0.74375,0.8296875,4747.465081531089,4680.153166869655,4814.776996192522,3.7759876251220703,3.775697708129883,3.776277542114258
positive_max_tanimoto,0,,0.9209318426475668,,,0.9662990196078431,,,0.98125,,,0.984375,,,,,,,,
positive_negative_logistic,0,,0.9574360934805962,,,0.8797075682698766,,,0.9234375,,,0.9578125,,,,,,,,
