seed,rows,targets,targets_with_continuous_metric,target_macro_spearman,target_macro_ndcg,targets_with_strong_weak_metric,target_macro_strong_weak_auprc
20260816,325,8,8,0.04150988709923134,0.8562383277872299,8,0.7360893626159872
20260817,325,8,8,0.0705455121282643,0.8542217375067976,8,0.7472821136352079
20260820,325,8,8,0.1549818286274557,0.8642609886181889,8,0.7443933673348275
