model,target_id,status,reason
probematch,CHEMBL1871,completed,
probematch,CHEMBL1902,completed,
probematch,CHEMBL2085,completed,
dtbind,CHEMBL1871,completed,
probematch,CHEMBL3474,completed,
probematch,CHEMBL4502,completed,
dtbind,CHEMBL1902,completed,
probematch,CHEMBL1930,completed,
probematch,CHEMBL4342,completed,
dtbind,CHEMBL2085,completed,
probematch,CHEMBL6044,completed,
probematch,CHEMBL202,completed,
dtbind,CHEMBL3474,completed,
dtbind,CHEMBL4502,pending,feature_download_pending
dtbind,CHEMBL1930,pending,feature_download_pending
dtbind,CHEMBL4342,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL6044,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL202,pending,feature_download_pending
dtbind,CHEMBL2189121,pending,feature_download_pending
dtbind,CHEMBL3430865,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL3902,pending,feature_download_pending
dtbind,CHEMBL4625,pending,feature_download_pending
dtbind,CHEMBL4860,pending,feature_download_pending
dtbind,CHEMBL5705,pending,feature_download_pending
dtbind,CHEMBL4068,pending,feature_download_pending
dtbind,CHEMBL2019,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2176771,pending,feature_download_pending
dtbind,CHEMBL1856,unavailable,publisher_sequence_mismatch
dtbind,CHEMBL205,pending,feature_download_pending
probematch,CHEMBL2189121,completed,
probematch,CHEMBL3430865,completed,
probematch,CHEMBL3902,completed,
probematch,CHEMBL4625,completed,
probematch,CHEMBL4860,completed,
dtbind,CHEMBL261,completed,
probematch,CHEMBL5705,completed,
probematch,CHEMBL4068,completed,
probematch,CHEMBL2019,completed,
probematch,CHEMBL2176771,completed,
dtbind,CHEMBL2326,completed,
dtbind,CHEMBL248,pending,feature_download_pending
probematch,CHEMBL1856,completed,
probematch,CHEMBL205,completed,
probematch,CHEMBL261,completed,
probematch,CHEMBL2326,completed,
probematch,CHEMBL248,completed,
dtbind,CHEMBL4073,completed,
probematch,CHEMBL4073,completed,
probematch,CHEMBL2023,completed,
probematch,CHEMBL3623,completed,
probematch,CHEMBL1786,completed,
dtbind,CHEMBL2023,completed,
dtbind,CHEMBL3623,pending,feature_download_pending
dtbind,CHEMBL1786,pending,feature_download_pending
dtbind,CHEMBL4338,pending,feature_download_pending
dtbind,CHEMBL4036,pending,feature_download_pending
dtbind,CHEMBL4235,pending,feature_download_pending
dtbind,CHEMBL308,pending,feature_download_pending
dtbind,CHEMBL301,pending,feature_download_pending
dtbind,CHEMBL331,pending,feature_download_pending
dtbind,CHEMBL4191,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2435,pending,feature_download_pending
dtbind,CHEMBL3935,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL4703,pending,feature_download_pending
probematch,CHEMBL4338,completed,
probematch,CHEMBL4036,completed,
probematch,CHEMBL4235,completed,
probematch,CHEMBL308,completed,
probematch,CHEMBL301,completed,
dtbind,CHEMBL3729,completed,
probematch,CHEMBL331,completed,
probematch,CHEMBL4191,completed,
probematch,CHEMBL2435,completed,
probematch,CHEMBL3935,completed,
probematch,CHEMBL4703,completed,
dtbind,CHEMBL1952,completed,
dtbind,CHEMBL1900,pending,feature_download_pending
dtbind,CHEMBL5619,pending,feature_download_pending
probematch,CHEMBL3729,completed,
probematch,CHEMBL1952,completed,
probematch,CHEMBL1900,completed,
probematch,CHEMBL5619,completed,
probematch,CHEMBL2508,completed,
probematch,CHEMBL268,completed,
dtbind,CHEMBL2508,completed,
dtbind,CHEMBL268,pending,feature_download_pending
dtbind,CHEMBL2954,pending,feature_download_pending
probematch,CHEMBL2954,completed,
probematch,CHEMBL2185,completed,
probematch,CHEMBL3055,completed,
probematch,CHEMBL3310,completed,
probematch,CHEMBL2778,completed,
dtbind,CHEMBL2185,completed,
dtbind,CHEMBL3055,pending,feature_download_pending
dtbind,CHEMBL3310,unavailable,publisher_protein_graph_not_available
dtbind,CHEMBL2778,unavailable,publisher_protein_graph_not_available
probematch,CHEMBL3242,completed,
probematch,CHEMBL260,completed,
probematch,CHEMBL4040,completed,
probematch,CHEMBL1910,completed,
probematch,CHEMBL3961,completed,
dtbind,CHEMBL3242,completed,
dtbind,CHEMBL260,pending,feature_download_pending
probematch,CHEMBL3116,completed,
probematch,CHEMBL3670,completed,
probematch,CHEMBL2321614,completed,
