model,completed,percent,targets_with_any_score,targets_720,targets_at_least_719
biomaster,276480,100.0,384,384,384
drugclip,275040,99.47916666666667,382,382,382
dtiam,276480,100.0,384,384,384
conplex,276480,100.0,384,384,384
nesso,77255,27.94234664351852,241,0,106
probematch,276480,100.0,384,384,384
dtbind,150818,54.54933449074074,211,209,209
