source_kind,target_chembl_id,parent_molregno,parent_molecule_chembl_id,parent_standard_inchi_key,min_document_year,max_document_year,mean_pchembl,min_pchembl,max_pchembl,calibration_label,assay_ids
chembl37_comprehensive,CHEMBL1862,367860.0,CHEMBL221959,UJLAWZDWDVHWOW-YPMHNXCESA-N,2017.0,2024.0,5.3933333333333335,5.17,5.66,negative_or_inactive,"1642783,2412461,2412462,2412463"
chembl37_comprehensive,CHEMBL1862,407979.0,CHEMBL247070,XNFHHOXCDUAYSR-SFHVURJKSA-N,2012.0,2024.0,6.15,6.15,6.15,positive,"2406641,2517535"
chembl37_comprehensive,CHEMBL1862,426660.0,CHEMBL255863,HHZIURLSWUIHRB-UHFFFAOYSA-N,2005.0,2023.0,7.414772727272727,5.04,9.06,positive,"934834,937542,937543,937544,937546,937547,1642783,1972825,2228893,2543777,2543778,2543780,2543781,2578573,2578574,2578575,2578577,2578578,2578579,2578580,2578581,2578583,2578584,2578585,2578586,2578587,2578588,2578589,2578608,2578609,2578610,2578612,2578613,2578614,2578615,2578616,2578618,2578619,2578620,2578621,2578622,2578623,2578624,2596601"
chembl37_comprehensive,CHEMBL1862,436277.0,CHEMBL572878,GCIKSSRWRFVXBI-UHFFFAOYSA-N,2008.0,2024.0,7.736666666666666,7.33,8.2,positive,"501661,586312,586680,586681,586810,586941,586942,587063,2617254"
chembl37_comprehensive,CHEMBL1862,485249.0,CHEMBL483847,WEVYNIUIFUYDGI-UHFFFAOYSA-N,2017.0,2023.0,6.5475,5.55,8.05,positive,"1720556,1765483,2218522,2596601"
chembl37_comprehensive,CHEMBL1862,706423.0,CHEMBL1257423,IIQUYGWWHIHOCF-UHFFFAOYSA-N,2017.0,2023.0,6.5,5.7,7.77,positive,"1720556,1765489,2596601"
chembl37_comprehensive,CHEMBL1862,1525680.0,CHEMBL2336015,DDLPXZXBWGJRGK-UHFFFAOYSA-N,2018.0,2024.0,6.48,6.45,6.51,positive,"1736074,2434922"
chembl37_comprehensive,CHEMBL1862,2086449.0,CHEMBL3805891,RVMLNNCKNCFOFH-UHFFFAOYSA-N,2016.0,2023.0,6.734999999999999,6.42,7.05,positive,"1577467,2346216"
chembl37_comprehensive,CHEMBL1862,2086453.0,CHEMBL3805771,JONUUBFCZUAOFY-UHFFFAOYSA-N,2016.0,2023.0,7.175,7.05,7.3,positive,"1577467,2346216"
chembl37_comprehensive,CHEMBL1862,2086454.0,CHEMBL3806189,CGMQSJXTBXHOTH-UHFFFAOYSA-N,2016.0,2023.0,7.899999999999999,7.7,8.0,positive,"1577467,2346216,2346231"
