scope,query,entity,model_a,model_b,n,spearman,top10_overlap,top10_tie_expected,top10_chance
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,nesso,dtbind,719,0.06605427942326214,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,probematch,dtbind,719,0.015680260015020583,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,drugclip,719,0.021613409989888466,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,dtiam,719,-0.05209792252694451,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,conplex,719,-0.06691963716360565,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,nesso,719,0.17757363148807476,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,probematch,719,0.02387350338361493,0,0.6666666666666666,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,dtbind,719,0.03463385556744009,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,dtiam,719,-0.12245025384536107,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,conplex,719,-0.07214411793238716,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,nesso,719,0.023767664519095053,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,probematch,719,-0.08564756792102252,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,dtbind,719,-0.024782289997502337,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,conplex,719,0.016631563145763945,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,nesso,719,-0.19151331567564697,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,probematch,719,0.3115698010399263,0,1.3333333333333333,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,dtbind,719,0.013807124652142474,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,conplex,nesso,719,0.01848426698353072,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,conplex,probematch,719,-0.2031987946459359,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,conplex,dtbind,719,0.029218912319645404,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,nesso,probematch,719,-0.42746742353066497,1,0.6666666666666666,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,nesso,dtbind,719,0.3144512480476496,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,probematch,dtbind,719,-0.3755498069182467,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,biomaster,drugclip,719,-0.06287916648910137,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,biomaster,dtiam,719,-0.05475943293353528,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,biomaster,conplex,719,-0.04156360951357348,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,biomaster,nesso,719,0.12277449335776634,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,biomaster,probematch,719,0.11248439039571882,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,biomaster,dtbind,719,0.13506741032955863,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,drugclip,dtiam,719,0.3193732744938919,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,drugclip,conplex,719,0.08975279026431805,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,drugclip,nesso,719,-0.10754455597697721,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,drugclip,probematch,719,-0.007702524526610906,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,drugclip,dtbind,719,-0.13790025501122818,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,dtiam,conplex,719,-0.12039681455365775,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,dtiam,nesso,719,-0.3350701131589078,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,dtiam,probematch,719,-0.12541867783266308,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,dtiam,dtbind,719,0.11500983675588222,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,conplex,nesso,719,0.058704951663279666,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,conplex,probematch,719,0.0904015254825494,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,conplex,dtbind,719,-0.2225904498773365,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,nesso,probematch,719,0.16516275312740925,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,nesso,dtbind,719,0.12285070710623008,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2085,probematch,dtbind,719,0.07441471608348013,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,biomaster,drugclip,719,0.21633594322042762,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,biomaster,dtiam,719,0.027070542963829512,4,4.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,biomaster,conplex,719,0.08114641580444024,3,3.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,biomaster,nesso,719,0.5003624269238071,7,7.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,biomaster,probematch,719,0.35871374277954915,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,biomaster,dtbind,719,0.42810334565814206,3,3.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,drugclip,dtiam,719,0.09589064701242475,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,drugclip,conplex,719,0.04634087148592768,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,drugclip,nesso,719,0.13311127985195573,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,drugclip,probematch,719,0.2050997077597974,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,drugclip,dtbind,719,0.14048073095954683,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,dtiam,conplex,719,0.05192176353374172,5,5.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,dtiam,nesso,719,-0.07134291979966237,7,7.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,dtiam,probematch,719,0.07530367563678524,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,dtiam,dtbind,719,0.04494239752561753,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,conplex,nesso,719,0.21985548943013614,5,5.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2326,conplex,probematch,719,0.041676864500450675,2,2.0,0.13908205841446453
