scope,query,model_a,model_b,queries,pairs_per_query,mean_spearman,mean_top10_overlap,mean_top10_tie_expected,mean_top10_chance
FIVE_FIXED_382_TARGETS,target_id,dtiam,biomaster,382,720.0,0.001989770260383253,0.7643979057591623,0.7643979057591623,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,dtiam,conplex,382,720.0,0.054411507277903795,1.068062827225131,1.068062827225131,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,dtiam,drugclip,382,720.0,0.04849520204236339,0.42670157068062825,0.42670157068062825,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,dtiam,probematch,382,720.0,0.07453208372762367,0.5445026178010471,0.5560152397473804,0.1388888888888889
FIVE_FIXED_720_DRUGS,drug_id,dtiam,biomaster,720,382.0,0.24777513888663474,1.9055555555555554,1.9055555555555554,0.2617801047120419
FIVE_FIXED_720_DRUGS,drug_id,dtiam,conplex,720,382.0,0.13355998071358194,0.9708333333333333,0.9708333333333333,0.2617801047120419
FIVE_FIXED_720_DRUGS,drug_id,dtiam,drugclip,720,382.0,0.06159797272418885,0.8166666666666667,0.8166666666666667,0.2617801047120419
FIVE_FIXED_720_DRUGS,drug_id,dtiam,probematch,720,382.0,0.12186684374673824,0.6861111111111111,0.6867482254982255,0.2617801047120419
OLD_NEW_FIVE_FIXED_382_TARGETS,target_id,dtiam_historical,dtiam,382,720.0,0.41058223455413995,1.5968586387434556,1.5968586387434556,0.1388888888888889
OLD_NEW_FIVE_FIXED_720_DRUGS,drug_id,dtiam_historical,dtiam,720,382.0,0.320377859541946,3.2625,3.2625,0.2617801047120419
OLD_NEW_FIXED_8_TARGETS,target_id,dtiam_historical,dtiam,8,719.0,0.46767814956389386,3.125,3.125,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,biomaster,conplex,8,719.0,0.07205357105206253,0.875,0.875,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,biomaster,drugclip,8,719.0,0.07302085310765105,0.5,0.5,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,biomaster,dtbind,8,719.0,0.2180921031187391,1.25,1.25,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,biomaster,dtiam,8,719.0,-0.018279451554648597,0.625,0.625,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,biomaster,nesso,8,719.0,0.268371551843257,2.5,2.5,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,biomaster,probematch,8,719.0,0.10568929758368721,0.75,0.7992424242424242,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,conplex,dtbind,8,719.0,0.07750001450301063,0.5,0.5,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,conplex,nesso,8,719.0,0.19776776311939936,1.75,1.75,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,conplex,probematch,8,719.0,-0.025947713875052503,0.75,0.7045454545454546,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,drugclip,conplex,8,719.0,0.06527369058276707,0.125,0.125,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,drugclip,dtbind,8,719.0,0.12535311396071083,0.0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,drugclip,dtiam,8,719.0,0.1144424292843503,0.25,0.25,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,drugclip,nesso,8,719.0,0.12392734818812366,0.75,0.75,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,drugclip,probematch,8,719.0,0.05872254609357394,0.375,0.36363636363636365,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,dtiam,conplex,8,719.0,0.01686654943334431,1.125,1.125,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,dtiam,dtbind,8,719.0,0.03334457956829502,0.375,0.375,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,dtiam,nesso,8,719.0,-0.16114450500435223,1.375,1.375,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,dtiam,probematch,8,719.0,0.10311183551020561,0.625,0.7916666666666666,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,nesso,dtbind,8,719.0,0.32464296099073775,1.25,1.25,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,nesso,probematch,8,719.0,0.035771043059906284,1.375,1.2878787878787878,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,probematch,dtbind,8,719.0,0.09838819774585647,0.625,0.6136363636363636,0.13908205841446453
