scope,query,model,queries,labeled_pairs,macro_ap,macro_prevalence
AB_UNSEEN_COMMON,drug_id,biomaster,7,98,0.8142773397237683,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,conplex,7,98,0.5831321365832236,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,drugclip,7,98,0.37329854925991207,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,dtbind,7,98,0.5904794429286706,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,dtiam,7,98,0.6071539026142908,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,dtiam_historical,7,98,0.5582523313173468,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,nesso,7,98,0.7020433931148217,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,nesso_pic50,7,98,0.8118545397957162,0.28981931112365894
AB_UNSEEN_COMMON,drug_id,probematch,7,98,0.5228753826705507,0.28981931112365894
AB_UNSEEN_COMMON,target_id,biomaster,12,36,0.8958333333333334,0.4847222222222222
AB_UNSEEN_COMMON,target_id,conplex,12,36,0.798611111111111,0.4847222222222222
AB_UNSEEN_COMMON,target_id,drugclip,12,36,0.7777777777777777,0.4847222222222222
AB_UNSEEN_COMMON,target_id,dtbind,12,36,0.6944444444444445,0.4847222222222222
AB_UNSEEN_COMMON,target_id,dtiam,12,36,0.8055555555555555,0.4847222222222222
AB_UNSEEN_COMMON,target_id,dtiam_historical,12,36,0.8472222222222222,0.4847222222222222
AB_UNSEEN_COMMON,target_id,nesso,12,36,0.9444444444444445,0.4847222222222222
AB_UNSEEN_COMMON,target_id,nesso_pic50,12,36,0.9722222222222222,0.4847222222222222
AB_UNSEEN_COMMON,target_id,probematch,12,36,0.7180555555555556,0.4847222222222222
COMMON_378,drug_id,biomaster,18,289,0.9062531744702476,0.30674602384852523
COMMON_378,drug_id,conplex,18,289,0.6319388198690734,0.30674602384852523
COMMON_378,drug_id,drugclip,18,289,0.42647114393427016,0.30674602384852523
COMMON_378,drug_id,dtbind,18,289,0.6060982215350434,0.30674602384852523
COMMON_378,drug_id,dtiam,18,289,0.8192444915395445,0.30674602384852523
COMMON_378,drug_id,dtiam_historical,18,289,0.7241424096763374,0.30674602384852523
COMMON_378,drug_id,nesso,18,289,0.8289877546259412,0.30674602384852523
COMMON_378,drug_id,nesso_pic50,18,289,0.8372704211688416,0.30674602384852523
COMMON_378,drug_id,probematch,18,289,0.5011378980251494,0.30674602384852523
COMMON_378,target_id,biomaster,36,234,0.7847552910052911,0.38145457937124605
COMMON_378,target_id,conplex,36,234,0.6062045593295593,0.38145457937124605
COMMON_378,target_id,drugclip,36,234,0.7021890532307199,0.38145457937124605
COMMON_378,target_id,dtbind,36,234,0.5295187066020399,0.38145457937124605
COMMON_378,target_id,dtiam,36,234,0.849917328042328,0.38145457937124605
COMMON_378,target_id,dtiam_historical,36,234,0.6510361552028219,0.38145457937124605
COMMON_378,target_id,nesso,36,234,0.8243827160493827,0.38145457937124605
COMMON_378,target_id,nesso_pic50,36,234,0.9227954144620811,0.38145457937124605
COMMON_378,target_id,probematch,36,234,0.5921388989097323,0.38145457937124605
