scope,query,entity,model,n,prevalence,ap
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,dtiam_historical,23,0.6956521739130435,0.7918376217113641
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,nesso_pic50,23,0.6956521739130435,1.0
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,biomaster,22,0.09090909090909091,1.0
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,drugclip,22,0.09090909090909091,0.55
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,dtiam,22,0.09090909090909091,0.3611111111111111
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,conplex,22,0.09090909090909091,0.5454545454545454
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,nesso,22,0.09090909090909091,0.5454545454545454
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,probematch,22,0.09090909090909091,0.14761904761904762
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,dtbind,22,0.09090909090909091,0.18055555555555555
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,dtiam_historical,22,0.09090909090909091,0.5476190476190477
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,nesso_pic50,22,0.09090909090909091,0.5454545454545454
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,biomaster,2,0.5,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,drugclip,2,0.5,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,dtiam,2,0.5,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,conplex,2,0.5,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,nesso,2,0.5,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,probematch,2,0.5,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,dtbind,2,0.5,0.5
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,dtiam_historical,2,0.5,1.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,nesso_pic50,2,0.5,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,biomaster,29,0.034482758620689655,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,drugclip,29,0.034482758620689655,0.25
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,dtiam,29,0.034482758620689655,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,conplex,29,0.034482758620689655,0.5
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,nesso,29,0.034482758620689655,1.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,probematch,29,0.034482758620689655,0.2
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,dtbind,29,0.034482758620689655,0.2
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,dtiam_historical,29,0.034482758620689655,0.1
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,nesso_pic50,29,0.034482758620689655,0.5
