query_id,positives,candidates,ap,mrr,recall_5,ndcg_5,recall_10,ndcg_10,recall_20,ndcg_20
26,2,384,0.5294117647058824,1.0,0.5,0.6131471927654584,0.5,0.6131471927654584,0.5,0.6131471927654584
41,1,291,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0
52,1,383,0.0030581039755351682,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0,0.0
58,1,383,0.006993006993006993,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0
64,1,384,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0
97,1,384,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0
135,5,381,0.20601058201058203,0.3333333333333333,0.2,0.16958010263680806,0.4,0.2826335043946801,0.4,0.2826335043946801
147,4,312,0.21040214866434379,0.3333333333333333,0.25,0.19519002499605084,0.5,0.32531670832675136,0.5,0.32531670832675136
152,3,384,0.05846394984326018,0.09090909090909091,0.0,0.0,0.0,0.0,0.3333333333333333,0.1309019901681972
177,1,311,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
183,4,384,0.3706709956709957,0.5,0.25,0.24630238874073,0.75,0.49394517682785766,1.0,0.6028389378960899
211,1,313,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
247,1,307,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.27023815442731974
260,1,310,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0
270,2,381,0.15625,0.25,0.5,0.2640681225725909,0.5,0.2640681225725909,0.5,0.2640681225725909
277,1,380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
278,1,384,0.0029850746268656717,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0
364,1,379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
372,1,379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
433,2,301,0.0318100358422939,0.05555555555555555,0.0,0.0,0.0,0.0,0.5,0.14434031438272124
462,1,382,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,0.23981246656813146
485,1,307,0.004149377593360996,0.004149377593360996,0.0,0.0,0.0,0.0,0.0,0.0
494,3,383,0.012345859104524062,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0
495,1,383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
499,1,384,0.010638297872340425,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0
509,1,311,0.006578947368421052,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0
515,2,383,0.75,1.0,1.0,0.8772153153380493,1.0,0.8772153153380493,1.0,0.8772153153380493
564,1,374,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0
612,1,381,0.5,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.6309297535714575
614,1,384,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.5
622,1,312,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
652,1,379,0.5,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.6309297535714575
680,1,376,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0
686,2,383,0.00559217940049583,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0,0.0
