view,model_a,model_b,assay_lane,queries,eligible_queries,mean_spearman,mean_top10_overlap,mean_top10_adjusted
completed_models_common,BALM,ADME-DTI,ENZYME_BIOCHEMICAL,211,183,0.40230012436263696,0.9180327868852459,0.07886600345616739
completed_models_common,BALM,ADME-DTI,EXTRACELLULAR_SPECIAL,117,79,0.39350068845961567,0.7974683544303798,0.06663781600490461
completed_models_common,BALM,ADME-DTI,ION_CHANNEL_FUNCTIONAL,57,36,0.36943448661723066,0.8611111111111112,0.07309275087052863
completed_models_common,BALM,ADME-DTI,KINASE_BIOCHEMICAL,122,90,0.35166379627947225,1.3,0.1176068376068376
completed_models_common,BALM,ADME-DTI,NONCANONICAL_REVIEW,96,61,0.3865444911715591,0.8688524590163934,0.07387791322217552
completed_models_common,BALM,ADME-DTI,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.40209755373897066,0.6296296296296297,0.04961485702226443
completed_models_common,BALM,ADME-DTI,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.32856873808569154,1.0277777777777777,0.08999683444127887
completed_models_common,BALM,ADME-DTI,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.3709178344616323,0.4782608695652174,0.03426235600148643
completed_models_common,BALM,CheMLT-F,ENZYME_BIOCHEMICAL,211,183,0.1370332387553522,0.2677595628415301,0.012912365917830397
completed_models_common,BALM,CheMLT-F,EXTRACELLULAR_SPECIAL,117,79,0.1793145818000293,0.05063291139240506,-0.009109596451368603
completed_models_common,BALM,CheMLT-F,ION_CHANNEL_FUNCTIONAL,57,36,0.08992433314534742,0.3888888888888889,0.02519784742006964
completed_models_common,BALM,CheMLT-F,KINASE_BIOCHEMICAL,122,90,0.12432685863807257,0.06666666666666667,-0.007483380816714151
completed_models_common,BALM,CheMLT-F,NONCANONICAL_REVIEW,96,61,0.19298768258117166,0.11475409836065574,-0.0026061370323665414
completed_models_common,BALM,CheMLT-F,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.2530662023651312,0.05555555555555555,-0.008610319721430833
completed_models_common,BALM,CheMLT-F,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.04683693439287108,0.0,-0.014245014245014244
completed_models_common,BALM,CheMLT-F,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.10489074052299933,0.5652173913043478,0.043081877864486556
completed_models_common,BALM,ScopeDTI_light,ENZYME_BIOCHEMICAL,211,183,0.2618741288761424,0.20765027322404372,0.006815811187395885
completed_models_common,BALM,ScopeDTI_light,EXTRACELLULAR_SPECIAL,117,79,0.37332561456411034,0.3037974683544304,0.016567492516859603
