model,asset_id,role,source_path,collection_link,bytes,sha256,official_source,status,inference_qualification
DTBind,dtbind_site,任务检查点,.external/DTBind/models/site_model.pth,data/research/dti_official_weights_20260921/existing/DTBind/dtbind_site,3622684,3c56cab1090a3263465ec4ea51882b1b8a1d10349b8997b2ed2f15ff0622fabe,https://raw.githubusercontent.com/liqy09/DTBind/08983e476760fbe5b5dc62be06fd2e087b31ac0c/models/site_model.pth,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
nesso,nesso_hparams.json,模型配置,.cache/nesso/huggingface/models--recursionpharma--nesso/snapshots/1896c84c7186c506c7efd79051480809d51098bf/v1.0.0/hparams.json,data/research/dti_official_weights_20260921/existing/nesso/nesso_hparams.json,1732,06aa0c44fcd44eaa2c5c2473bfcf0d9a3af892d867e5279859bb22eb0f6e2d72,https://huggingface.co/recursionpharma/nesso/resolve/1896c84c7186c506c7efd79051480809d51098bf/v1.0.0/hparams.json,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
nesso,nesso_model.safetensors,任务检查点,.cache/nesso/huggingface/models--recursionpharma--nesso/snapshots/1896c84c7186c506c7efd79051480809d51098bf/v1.0.0/model.safetensors,data/research/dti_official_weights_20260921/existing/nesso/nesso_model.safetensors,165426752,9928a8a824d147d665e76656804af1cd91c86731516d0b561f9fd1c91ee45622,https://huggingface.co/recursionpharma/nesso/resolve/1896c84c7186c506c7efd79051480809d51098bf/v1.0.0/model.safetensors,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
EviDTI,evidti_drugbank,任务检查点,third_party/sota_dti_2026/EviDTI/runs/drugbank_model/checkpoint.pth,data/research/dti_official_weights_20260921/existing/EviDTI/evidti_drugbank,92431833,28018417207df416c67296642172303a4ee998b124fcde582c91927f3cc9e71e,https://zenodo.org/records/14056305,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
EviDTI,evidti_davis,任务检查点,third_party/sota_dti_2026/EviDTI/runs/davis_model/checkpoint.pth,data/research/dti_official_weights_20260921/existing/EviDTI/evidti_davis,403246755,17294acaabdb7f55d6e084ca65bf748f5fac6ad9e6905ad92e3689b2d2079400,https://zenodo.org/records/14056305,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
EviDTI,evidti_kiba,任务检查点,third_party/sota_dti_2026/EviDTI/runs/kiba_model/checkpoint.pth,data/research/dti_official_weights_20260921/existing/EviDTI/evidti_kiba,403989979,4c06ee6aab91ac24823f8f9e87e585c3efd549af5350093fc45d6463e0a8263f,https://zenodo.org/records/14056305,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_80_20241006_131415,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_GPCR_DrugBAN_3D/best_model_epoch_80_20241006_131415.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_80_20241006_131415,9020433,24381b5871c966650fccee80c02427e97ed1f721bb625e58014f159cafa48de1,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_81_20241006_130750,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_GPCR_DrugBAN_3D/best_model_epoch_81_20241006_130750.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_81_20241006_130750,9020433,a78413b4ccd5c6f723d3bbc651843669c04781aef108fa055107f040066f4967,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_82_20241006_132201,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_GPCR_DrugBAN_3D/best_model_epoch_82_20241006_132201.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_82_20241006_132201,9020433,47a26c1bfd414ae47d1195cda933399280a430ef5768c242d62571a6e6949b4f,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_88_20241006_130303,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_GPCR_DrugBAN_3D/best_model_epoch_88_20241006_130303.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_88_20241006_130303,9020433,f17697b10c6870ca8703727b823428fc1ef843566f6e6adb663d23b1212f6759,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_89_20241006_132052,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_GPCR_DrugBAN_3D/best_model_epoch_89_20241006_132052.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_GPCR_DrugBAN_3D_best_model_epoch_89_20241006_132052,9020433,ab40627353410b877da78156b1d09242b2d5058266fe256cd941c9335dc5f2e4,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_IC_DrugBAN_3D_best_model_epoch_86_20241006_132201,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_IC_DrugBAN_3D/best_model_epoch_86_20241006_132201.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_IC_DrugBAN_3D_best_model_epoch_86_20241006_132201,9020433,82d2b75c38af8e9566c318d508ff36c65bcdc5ef02c6a108bba540b31c80fdf1,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_IC_DrugBAN_3D_best_model_epoch_87_20241006_130303,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_IC_DrugBAN_3D/best_model_epoch_87_20241006_130303.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_IC_DrugBAN_3D_best_model_epoch_87_20241006_130303,9020433,39c8059bb3844d95c6a103624700eef96165ecca5416500cec2ed52ea1f4ee3f,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_IC_DrugBAN_3D_best_model_epoch_87_20241006_130750,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_IC_DrugBAN_3D/best_model_epoch_87_20241006_130750.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_IC_DrugBAN_3D_best_model_epoch_87_20241006_130750,9020433,a7d1da4320f98ca0f9b88582b5a9fdee80060e5e632d4b7db77a052f8aeeb4f1,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_IC_DrugBAN_3D_best_model_epoch_88_20241006_132052,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_IC_DrugBAN_3D/best_model_epoch_88_20241006_132052.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_IC_DrugBAN_3D_best_model_epoch_88_20241006_132052,9020433,2a175648f507330308d647d29c2acfe0ed7ca34d35f17b03741af4d868b2921e,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
ScopeDTI_light,scope_Filtered_IC_DrugBAN_3D_best_model_epoch_89_20241006_131415,任务检查点,.external/scope_dti_lightweight/models_path/Filtered_IC_DrugBAN_3D/best_model_epoch_89_20241006_131415.pth,data/research/dti_official_weights_20260921/existing/ScopeDTI_light/scope_Filtered_IC_DrugBAN_3D_best_model_epoch_89_20241006_131415,9020433,307a1ef451cbf361f2ddc31d10d70eeeab8111ab487b241e215a3df0c4614508,,EXISTING_FILE_HASH_VERIFIED,UNCHANGED_FROM_PRIOR_REGISTRY
