arm,variant,seed,ap,auroc,target_macro_ap,drug_macro_ap,balanced_query_ap,target_p5,drug_p5,explicit_inactive_fpr
kdki_inactive,binary,20260921,0.9583505170384772,0.9166476204879888,0.6935429508144152,0.6229627227836807,0.6582528367990479,0.6395348837209303,0.5962962962962963,0.3254765705700065
all_inactive,binary,20260921,0.9043001707459516,0.8592877844299367,0.6596361979451524,0.5369928725592201,0.5983145352521863,0.610077519379845,0.5222222222222223,0.4795755469997182
kdki_inactive,rank,20260921,0.9405039737764416,0.895149074970971,0.6896181613316341,0.5999694490967932,0.6447938052142137,0.6368217054263565,0.5592592592592592,0.3904591980467649
all_inactive,rank,20260921,0.9089733976246676,0.8686496820751762,0.6709614708849416,0.5807823613299333,0.6258719161074375,0.6135658914728682,0.5222222222222221,0.5095314114001315
kdki_inactive,regression,20260921,0.9435161088131552,0.898672358604968,0.6894171565608783,0.6131790170210419,0.6512980867909601,0.6302325581395349,0.5777777777777778,0.3771246126396845
all_inactive,regression,20260921,0.9035272723084956,0.8458402685003966,0.6677573487064428,0.5776117981766076,0.6226845734415252,0.6023255813953489,0.5481481481481482,0.4600431965442764
kdki_inactive,joint,20260921,0.9461557896134258,0.90596433660154,0.7014196020961839,0.6370477641940588,0.6692336831451213,0.6445736434108528,0.5814814814814815,0.4067048549159545
all_inactive,joint,20260921,0.9017239772606942,0.844918178290121,0.6553226593866169,0.5484963288891698,0.6019094941378933,0.6127906976744187,0.5111111111111112,0.4892478166964034
kdki_inactive,binary,20260922,0.951666238486735,0.911424747092186,0.69768790156934,0.6052977226773678,0.6514928121233539,0.6457364341085271,0.5518518518518518,0.3528969856324537
all_inactive,binary,20260922,0.92118760586681,0.8596920326996442,0.654308831391991,0.5493188713030752,0.6018138513475331,0.6034883720930232,0.5111111111111112,0.4652080007512442
kdki_inactive,rank,20260922,0.9203284455195636,0.8810456081056881,0.6920847185140768,0.587858996281299,0.6399718573976879,0.6352713178294572,0.5555555555555556,0.3811625504742229
all_inactive,rank,20260922,0.9185031031822796,0.8640050977470877,0.6872360033859872,0.5289966022139228,0.608116302799955,0.6209302325581395,0.5037037037037037,0.5332895107521833
kdki_inactive,regression,20260922,0.9431795303605088,0.9014089196751128,0.6859092209753215,0.5953390002106367,0.6406241105929791,0.6325581395348837,0.5444444444444445,0.3674523429429993
all_inactive,regression,20260922,0.9160196605557408,0.8611473365376912,0.6747886496462392,0.5932895010094038,0.6340390753278216,0.6139534883720931,0.5407407407407407,0.4404169405577988
kdki_inactive,joint,20260922,0.9421064006703548,0.892850943846762,0.6806586647926048,0.6107852546165168,0.6457219597045608,0.6275193798449612,0.5666666666666667,0.4288665602403981
all_inactive,joint,20260922,0.92080858883202,0.8631268071654365,0.6776021576457814,0.5837334608882857,0.6306678092670335,0.6131782945736434,0.5185185185185185,0.5505681284627665
kdki_inactive,binary,20260923,0.9564924668081218,0.917278401737922,0.7025296974939204,0.597088622237275,0.6498091598655977,0.6375968992248062,0.588888888888889,0.3728049582120387
all_inactive,binary,20260923,0.9256162342627312,0.8680294267526134,0.6567124785355061,0.5432855657735974,0.5999990221545517,0.6038759689922482,0.5259259259259259,0.4906563996619401
kdki_inactive,rank,20260923,0.9250287387884526,0.8782019330922728,0.6690653150904337,0.6024955244188016,0.6357804197546176,0.6116279069767442,0.5740740740740741,0.4286787491783266
all_inactive,rank,20260923,0.9183968072089658,0.8697894578336227,0.671802624972312,0.6196258613317236,0.6457142431520178,0.613953488372093,0.5555555555555556,0.4120574701849939
kdki_inactive,regression,20260923,0.9500255645419012,0.9086075911431668,0.689610252903746,0.5860820642502919,0.637846158577019,0.6282945736434108,0.562962962962963,0.4409803737440135
all_inactive,regression,20260923,0.9282695002289926,0.869279547606212,0.6700731353967055,0.617731936949448,0.6439025361730768,0.6166666666666667,0.5555555555555556,0.4549722978683444
kdki_inactive,joint,20260923,0.9522049139010276,0.9117577880537056,0.7046662337999976,0.6343901823378855,0.6695282080689415,0.6468992248062014,0.5740740740740742,0.3586252230256362
all_inactive,joint,20260923,0.9229149265018588,0.8729294172779236,0.6754230155624624,0.56536813620622,0.6203955758843411,0.6189922480620155,0.5481481481481482,0.4151563527091745
