arm,split,type,group,rows
kdki_inactive,train,exact_regression,Kd,20660
kdki_inactive,train,exact_regression,Ki,171809
kdki_inactive,validation,exact_regression,Kd,3727
kdki_inactive,validation,exact_regression,Ki,21460
kdki_inactive,train,binary,ALL,337570
kdki_inactive,train,rank_queries,AFFINITY_KD_KI__drug_feature_index,8012
kdki_inactive,train,rank_queries,AFFINITY_KD_KI__target_feature_index,1287
all_inactive,train,exact_regression,EC50,75564
all_inactive,train,exact_regression,IC50,530921
all_inactive,train,exact_regression,Kd,20749
all_inactive,train,exact_regression,Ki,172012
all_inactive,validation,exact_regression,EC50,9535
all_inactive,validation,exact_regression,IC50,63204
all_inactive,validation,exact_regression,Kd,3729
all_inactive,validation,exact_regression,Ki,21506
all_inactive,train,binary,ALL,1116270
all_inactive,train,rank_queries,ACTIVITY_EC50__drug_feature_index,4797
all_inactive,train,rank_queries,ACTIVITY_EC50__target_feature_index,529
all_inactive,train,rank_queries,ACTIVITY_IC50__drug_feature_index,32389
all_inactive,train,rank_queries,ACTIVITY_IC50__target_feature_index,1936
all_inactive,train,rank_queries,AFFINITY_KD_KI__drug_feature_index,7891
all_inactive,train,rank_queries,AFFINITY_KD_KI__target_feature_index,1271
