variant,seed,targets_with_training_relations,target_mean_score_spearman_train_mean,target_mean_score_spearman_train_sum,target_mean_score_spearman_train_count
A_global_pair,20260905,492,0.4200303624072088,0.10754427293357723,-0.029244428265451015
A_global_pair,20260906,492,0.37625165782058484,0.2769268882839211,0.1678856474409187
B_support_pair,20260905,492,0.07756243704506385,0.22949859299530573,0.17834756992314418
B_support_pair,20260906,492,0.11455291975371422,0.1519744915365239,0.07365760366672766
C_global_rank,20260905,492,0.4066242969430187,0.1911802221411596,0.07062156673164875
C_global_rank,20260906,492,0.3846407099837542,0.21596829679752338,0.09911051275791076
D_support_rank,20260905,492,0.07756243704506385,0.22949859299530573,0.17834756992314418
D_support_rank,20260906,492,0.13278551347224,0.14642065752292618,0.06504805873829335
E_local_rank,20260905,492,0.6554055284154375,0.139067110797887,-0.03951881540725623
E_local_rank,20260906,492,0.6589452747472602,0.11723458405777608,-0.0588243744868017
F_local_support_rank,20260905,492,0.14674625325094348,0.23714419747808696,0.16495184296304366
F_local_support_rank,20260906,492,0.17465059923272275,0.26228706486603487,0.18676071163906954
