drug_feature_index,A_global_pair,B_support_pair,C_global_rank,D_support_rank,E_local_rank,F_local_support_rank,positive_max_tanimoto,positive_negative_logistic
169584,0.17777777777777776,1.0,0.06623931623931624,1.0,0.09126984126984126,0.6,1.0,1.0
149023,0.41666666666666663,0.75,0.25,1.0,0.01238082627118644,0.17045454545454547,1.0,1.0
189641,0.625,0.875,1.0,1.0,0.4080645161290323,0.9166666666666666,1.0,1.0
287363,0.5714285714285714,1.0,0.11688311688311688,1.0,0.04511494252873563,0.41666666666666663,1.0,1.0
269449,0.7291666666666666,1.0,0.8075396825396824,1.0,0.04177801165195287,0.7958333333333334,0.9166666666666666,1.0
283957,0.7229166666666667,1.0,1.0,0.975,0.057350906788312034,0.7051282051282051,1.0,1.0
115852,0.27941176470588236,1.0,0.52,1.0,0.04009009009009009,0.6666666666666666,1.0,1.0
231071,0.011490683229813664,0.06696428571428571,0.004626156539134784,0.047379032258064516,0.008622779374588774,0.04922779922779923,1.0,0.05
13638,0.5625,1.0,0.10989010989010989,1.0,0.05,0.5714285714285714,1.0,1.0
206822,0.10606060606060605,1.0,0.040865384615384616,1.0,0.033801874163319943,0.625,1.0,1.0
92902,0.041666666666666664,0.04206349206349206,0.026021080368906456,0.03940568475452196,0.012461300309597523,0.0258974358974359,1.0,1.0
159517,0.004301075268817204,0.060142711518858305,0.0046680900621118016,0.06871345029239766,0.006152167369054787,0.023064687168610817,1.0,1.0
72069,0.06724137931034482,0.75,0.04707792207792208,0.75,0.02297794117647059,0.22916666666666666,1.0,1.0
245924,0.2581967213114754,1.0,0.07631578947368421,1.0,0.08531746031746032,0.75,1.0,1.0
49955,0.012743506493506494,0.41666666666666663,0.01082516339869281,0.26666666666666666,0.006321504750824123,0.1467391304347826,1.0,1.0
27365,0.28846153846153844,0.037241379310344824,0.07916666666666666,0.02765804597701149,0.022486772486772486,0.04554655870445344,1.0,1.0
175058,0.2763157894736842,1.0,0.375,1.0,0.1111111111111111,0.5416666666666666,1.0,1.0
238051,0.01590693257359924,0.05140692640692641,0.033689024390243905,0.01076007326007326,0.02988215488215488,0.016846175089754212,1.0,0.3333333333333333
239165,0.7597222222222222,0.8743055555555556,0.611904761904762,0.8273706896551725,0.3703835227272727,0.7198593073593074,1.0,1.0
144212,0.006799894223867628,0.06432748538011696,0.011965811965811965,0.060142711518858305,0.005090707145501666,0.030681818181818185,1.0,0.058823529411764705
127398,0.9166666666666666,0.875,0.5416666666666666,0.9166666666666666,0.05439209164818921,0.35795454545454547,0.8333333333333333,0.5833333333333333
83862,0.05637254901960784,0.625,0.023796791443850267,0.75,0.07380952380952381,0.23809523809523808,1.0,1.0
120000,0.007470894832859659,0.2810335785511078,0.006840184790463524,0.025050750637333585,0.011073979601898385,0.09298245614035087,1.0,0.532258064516129
86805,0.20287698412698413,0.17735042735042733,0.125721864088101,0.3055555555555556,0.029335602104480822,0.17946428571428572,1.0,0.75
206076,0.1125,1.0,0.125,1.0,0.013383838383838383,0.6666666666666666,1.0,1.0
206466,0.1142857142857143,1.0,0.07555555555555556,1.0,0.08496732026143791,0.6666666666666666,1.0,1.0
112964,1.0,1.0,0.6666666666666666,1.0,0.04235744016933156,0.2270833333333333,1.0,1.0
48802,0.625,1.0,0.75,1.0,0.23809523809523808,1.0,1.0,1.0
