排序,小分子药物名称,新靶点名称,pair_id,neural_score,positive_neighbor,target_prior,nearest_training_positive,A_neural_rank384,A_plus_neighbor_rank384,A_plus_prior_rank384,A_joint_blend_rank384
11,solifenacin,CA7 — Carbonic anhydrase 7,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,11.375,0.24637681,0.9191719901016979,IMCCJXZOAPRMSJ-UHFFFAOYSA-N,11,9,4,9
12,macimorelin,ACE — Angiotensin-converting enzyme,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,-1.0703125,0.42465752,0.5058125925370889,YWBHCYRCVYEOPE-HJOGWXRNSA-N,115,4,119,2
13,oxycodone,CA7 — Carbonic anhydrase 7,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,2.8359375,0.25862068,0.9191719901016979,YZNPQMQPXQZXCM-UHFFFAOYSA-N,38,6,24,5
14,methylnaltrexone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,8.875,0.1875,0.6853861741588732,BARFVEBATVBYQH-UHFFFAOYSA-N,21,4,16,6
15,thalidomide,MIF — Macrophage migration inhibitory factor,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,-5.71875,0.35443038,0.5895769217687635,BLWJNFIWBHIIPJ-UHFFFAOYSA-N,88,11,88,10
16,armodafinil,NR3C2 — Mineralocorticoid receptor,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,1.3867188,0.18,0.8542348888484506,ZQUBXJBFLQZXKR-UHFFFAOYSA-N,31,38,28,37
17,diltiazem,REN — Renin,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,-2.046875,0.15833333,0.734718242762397,SQXBOADNRXSHPF-UHFFFAOYSA-N,375,348,372,310
18,upadacitinib,PRKCB — Protein kinase C beta type,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,-11.4375,0.25,0.4783281859824406,ASUGUQWIHMTFJL-QGZVFWFLSA-N,332,97,328,93
19,carglumic acid,MMP12 — Macrophage metalloelastase,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,-4.125,0.3617021,0.891881269806106,KGICPKKIUBLFER-VQTJNVASSA-N,23,4,23,4
20,diazoxide,CSF1R — Macrophage colony-stimulating factor 1 receptor,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,-7.265625,0.17105263,0.34203761988406045,NSKYYUZMAXEZIR-AQTBWJFISA-N,99,86,113,119
21,lenalidomide,AXL — Tyrosine-protein kinase receptor UFO,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,-5.9375,0.16842106,0.7496838721102275,INTXTKUGMLFQMQ-MRXNPFEDSA-N,121,98,111,89
22,ixabepilone,CSF1R — Macrophage colony-stimulating factor 1 receptor,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,11.125,0.14166667,0.34203761988406045,BMGQWWVMWDBQGC-IIFHNQTCSA-N,37,37,67,73
23,esketamine,GSK3A — Glycogen synthase kinase-3 alpha,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,-2.125,0.2,0.11323157963488875,BVNDJEHETZIZCV-UHFFFAOYSA-N,145,99,173,133
24,ibuprofen,CA4 — Carbonic anhydrase 4,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,-9.3125,0.4883721,0.7948495395042364,NOBISVURYNCXLY-UHFFFAOYSA-N,304,6,239,5
25,lisinopril,REN — Renin,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,7.796875,0.7017544,0.734718242762397,LZFZMUMEGBBDTC-JDLVMGNASA-N,1,1,1,1
