target_id,sum,count,smoothed_prior
SEQ:0005091cb3c277123e3a0b90c22eadb48f41111ede450925669dc482ed4974c7,6,262,0.04262089867199657
SEQ:00054e79d2c1f21a1744d2060bc18390be7446bb9a9477d37dabba316f3ebfcb,8,9,0.7154149704622667
SEQ:001c5d2b571d4e8910b9409e8aaffc73b1ebe78a6b944bc951a7b21717ea1499,43,45,0.8835069897960558
SEQ:0027ca265a312088abd02e8ce011f420752c659eb948ff8d3d46e13f489b74a8,3,8,0.4773824688212815
SEQ:00440103503779ef140dd4789b6d6a788a99e511deffa6b27687532b5eb1a060,0,1,0.5084440398893697
SEQ:005d3d027b78ea2cd89b091eed5a8b8e5f97d9ebcea50ca66cc24a8d52863e65,1,1,0.5993531307984606
SEQ:0076040428b7f909caf2ddfe8f2c4f199dce3c4cdf29c33dbe4f6c4f7ad23c25,0,1,0.5084440398893697
SEQ:0099b6e08f42d6264928d693b92b30597d3d5e2685b25e0d0f4d7ae20d02e157,0,1,0.5084440398893697
SEQ:00b3adba0581624558f8c1410841533e1f37b074b71346bdc9f8f6611418c0f2,6,6,0.7245552774239417
SEQ:00db91b4578ef5aae6a919976e58dcdc9cd9ca77a912f999f0aa62c9cacee3c0,32,54,0.5873888193559854
SEQ:00faf52e877f8ec4d0da6ca32313f09350fb35484546287f7d68e8d95efc02b9,38,170,0.24218269132657258
SEQ:011b29df0ce28bf5ed25ab922e3b490924ed2bb990c8e2c6cfbbb7ae893b21db,15,16,0.7920340168762718
SEQ:014dd24ea6ea11c23768eee762593c05a59edfc52fdbad8834d05e9c628ba1e5,1,1,0.5993531307984606
SEQ:0153dbebb226a1e5b5f70a1ca9add9fc132e086045e02ee6797b928c3f08547d,438,721,0.6068302112705651
SEQ:015f4bd91eb1ae0731e7fa44552636508f59862c9269876fbbc107774dfe54dd,3,3,0.6609911106756206
SEQ:016dedc48fb624f3e8268e06db1eb26813422f4212d70c0a44ccc9e2310ae4b4,8,28,0.3577074852311333
SEQ:01a94f11705e76d6747b6e29529607e32c7dac0df85b78165c8fbc95731e31e5,35,113,0.33002345072181355
SEQ:01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,96,377,0.26251391327850926
SEQ:01e988a935055b3c57d7a073517b26d9bed04f57214bf0e7f9b60e40711d4458,8,277,0.04736196668565528
SEQ:020884f6dce1bb3d3be8a7d80c3dab87c1e0cf31a525b6be8aaf45e118e6d238,1,1,0.5993531307984606
SEQ:020c11b8422162d1f0031a0b93cc2b1560b0f1eb23b752616591ff327bf3ff6f,4,300,0.03094478851220344
SEQ:021c190f132b75dcb59970b3d23c97db468e2ce2ae16a8eca553b65dd038e4d4,0,1,0.5084440398893697
SEQ:022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,3,7,0.505463790516651
SEQ:022c5e46aa4d58f82ea0b1dcb834398f4f1195826519611b0447b8b5e3536ef3,177,218,0.8008459843806275
SEQ:024435b6a912aaecfa2992585f7d822f4f49a8a1338b3bc6a7b36bd8991acd0a,2,15,0.30371537755132266
SEQ:0245deffad73dcd5cf0c8f7c09aef20860fbe11c1fb839049bce6dd95819195c,78,83,0.898848219771861
SEQ:025f53bb7b61d7ff93a932e7af3847f13013f8f3a49ab3b2b7f983b2b2c72aee,12,213,0.07889185846987923
SEQ:0262c98d50b56f5a3caf0eeed1550c2543dba87524fecd3b287816f82be04774,0,2,0.4660737032319222
SEQ:0270f0f41ef901b7594254734aff43140744a99f85c6d4532effe0fd40df37fb,1,1,0.5993531307984606
SEQ:028f4d4e6566b0a43bf03df24d0833f95e4772db5434a3841a945be32735ed1b,0,1,0.5084440398893697
SEQ:0297752cbbb160a1a2fee4880b98710b630abae0d51abd20970073bd8159c2af,0,128,0.04052814810712367
SEQ:029f8580eefc0e726eb5b51ca651638e2c6a0d294560ae22521c3333fea68d11,1,20,0.21976281462610223
SEQ:02a7fa9f4745cdff0335db445a7b4b1a7829e9bb3f6a0771bea04ed6d49fc3cb,6,6,0.7245552774239417
