name,cutoff,seed,recipe,representation,folder,selected_epoch,parameters,selection,d2t_ap,d2t_r20,d2t_measured_ap,t2d_ap,t2d_r20,t2d_measured_ap
global,2018,20260921,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/rolling_original/roll_2018/development/global/seed_20260921,4,838292,0.4000172702418706,0.3639941949317082,0.5873015873015872,0.8764594463162909,0.2934453774352939,0.5454545454545454,0.8351517209785202
global,2018,20260922,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/rolling_original/roll_2018/development/global/seed_20260922,12,838292,0.3993438885298567,0.3594957705484699,0.6706349206349206,0.8550204988086122,0.26030556835563523,0.5454545454545454,0.8513567964309278
global,2018,20260923,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/rolling_original/roll_2018/development/global/seed_20260923,6,838292,0.38243240133566153,0.36979494300867577,0.6626984126984127,0.8732892492344368,0.2278164943263621,0.4924242424242424,0.8479096859367795
global,2020,20260921,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_unified_interaction_20260906/development/global/seed_20260921,3,838292,0.44374824316052197,0.4026410042780202,0.6803921568627451,0.8233166897337559,0.3025522093200235,0.6324786324786325,0.739118995477656
global,2020,20260922,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/reproduction/development/global/seed_20260922,4,838292,0.3977662457143601,0.3261233735632407,0.6377450980392156,0.8260951214954549,0.29893704836574336,0.5555555555555555,0.7270083808932435
global,2020,20260923,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/reproduction/development/global/seed_20260923,8,838292,0.37766015465241437,0.3174511858409669,0.6485294117647058,0.8562484022801724,0.25653042387483044,0.5299145299145298,0.7310629601966261
capacity,2018,20260921,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/rolling_original/roll_2018/development/capacity/seed_20260921,8,2711508,0.39919901897808396,0.33334426561974917,0.7023809523809523,0.8685557793882136,0.26269745836216063,0.5681818181818182,0.8528072954212056
capacity,2018,20260922,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/rolling_original/roll_2018/development/capacity/seed_20260922,3,2711508,0.3686481547056427,0.3446313032693921,0.6428571428571429,0.8831666333953775,0.21398309050925307,0.5113636363636364,0.8563977223498215
capacity,2018,20260923,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/rolling_original/roll_2018/development/capacity/seed_20260923,4,2711508,0.38145962359131214,0.3440069940174569,0.6587301587301587,0.8675822252365195,0.2038244599045358,0.606060606060606,0.8316191977558577
capacity,2020,20260921,baseline,drugclip,/root/autodl-tmp/BioMaster/outputs/biomaster_unified_interaction_20260906/development/capacity/seed_20260921,6,2711508,0.4597073297011442,0.37277925799295275,0.6877450980392157,0.8546566655846596,0.34189305224992,0.7094017094017093,0.7405175539564548
