model,cutoff,seed,direction,approved_drugs,ap,r20,queries,positive_pairs
drugclip_morgan,2018,20260921,d2t,517,0.36551900304164314,0.7,25,33
drugclip_morgan,2018,20260921,t2d,517,0.309052058213493,0.4782608695652174,23,33
drugclip_morgan,2018,20260922,d2t,517,0.35609079512120706,0.6,25,33
drugclip_morgan,2018,20260922,t2d,517,0.34991131758786304,0.5217391304347826,23,33
drugclip_morgan,2018,20260923,d2t,517,0.3236375046326822,0.5333333333333333,25,33
drugclip_morgan,2018,20260923,t2d,517,0.30499291729220046,0.4782608695652174,23,33
drugclip_morgan,2020,20260921,d2t,560,0.46011544441216595,0.6533333333333334,25,36
drugclip_morgan,2020,20260921,t2d,560,0.19988685665192646,0.65,30,36
drugclip_morgan,2020,20260922,d2t,560,0.40885945377867877,0.7066666666666666,25,36
drugclip_morgan,2020,20260922,t2d,560,0.22156225817763434,0.65,30,36
drugclip_morgan,2020,20260923,d2t,560,0.372399533700013,0.66,25,36
drugclip_morgan,2020,20260923,t2d,560,0.2663980936450915,0.55,30,36
