cutoff,seed,variant,selection,parameters,folder,d2t_ap,d2t_r20,d2t_measured_ap,t2d_ap,t2d_r20,t2d_measured_ap
2018,20260921,parent,0.450563734536916,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/representations/drugclip_morgan/optimization/roll_2018/global_ema/seed_20260921,0.4025858041249244,0.6865079365079365,0.8680912903932974,0.3567552308537722,0.5454545454545454,0.8479081546028177
2018,20260922,parent,0.455497719748129,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/representations/drugclip_morgan/optimization/roll_2018/global_ema/seed_20260922,0.407624483638264,0.6428571428571429,0.8855139836306214,0.3601704855864461,0.6022727272727273,0.8396172164903811
2018,20260923,parent,0.4101056708506448,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/representations/drugclip_morgan/optimization/roll_2018/global_ema/seed_20260923,0.38235880995476,0.6190476190476191,0.8796954854836814,0.27568893236433656,0.5795454545454546,0.847879049449925
2020,20260921,parent,0.4325562709966362,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/representations/drugclip_morgan/optimization/roll_2020/global_ema/seed_20260921,0.4754371309946648,0.6627450980392157,0.8517364990286685,0.20534204448807514,0.6324786324786325,0.7375196455334314
2020,20260922,parent,0.4412424075733188,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/representations/drugclip_morgan/optimization/roll_2020/global_ema/seed_20260922,0.4324147655530379,0.7137254901960784,0.8698185076564605,0.2513332035101398,0.6324786324786325,0.7332834903878666
2020,20260923,parent,0.4349892399754812,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/representations/drugclip_morgan/optimization/roll_2020/global_ema/seed_20260923,0.4262349805184763,0.6794117647058824,0.8533999307980716,0.27083619424448035,0.5940170940170939,0.7294250732577596
2018,20260921,global,0.4131373572123457,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/global/seed_20260921,0.3753322105338813,0.611111111111111,0.8534504667929609,0.3175061260901367,0.5265151515151515,0.839056965779018
2018,20260921,capacity,0.4114978953696422,2447390,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/capacity/seed_20260921,0.3534443331261909,0.6666666666666666,0.8543497678527604,0.3060301731247351,0.5378787878787878,0.8389409338281129
2018,20260921,site,0.40303689847962815,2372516,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/site/seed_20260921,0.35383711081639657,0.6309523809523809,0.8544246971195326,0.30163937092502713,0.5265151515151515,0.8397470497268644
2018,20260921,geometry,0.4113413929815457,2447205,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/geometry/seed_20260921,0.36378980977074593,0.6309523809523809,0.8538330556290995,0.30567353937875397,0.5492424242424242,0.8376996510812315
2018,20260922,global,0.4421647393773819,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/global/seed_20260922,0.396281329217953,0.6666666666666666,0.871153885018257,0.3329555884836577,0.5795454545454546,0.8281709915125258
2018,20260922,capacity,0.4486086206001649,2447390,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/capacity/seed_20260922,0.4010104251284571,0.6507936507936508,0.8723677391399661,0.35344030286954037,0.5795454545454546,0.8277448705797237
2018,20260922,site,0.43331526107325513,2372516,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/site/seed_20260922,0.39849954997080383,0.6190476190476191,0.8762934332846936,0.3258613072700365,0.5795454545454546,0.8277766309435569
2018,20260922,geometry,0.42144402301801653,2447205,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/geometry/seed_20260922,0.39752251231680774,0.6507936507936508,0.8724902075633878,0.29717222258933734,0.5378787878787878,0.8304366325517273
2018,20260923,global,0.402634232933117,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/global/seed_20260923,0.3625606296250905,0.626984126984127,0.874360025152886,0.28047904641139726,0.5568181818181818,0.8375699272390039
2018,20260923,capacity,0.39353657761844424,2447390,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/capacity/seed_20260923,0.3546233407538502,0.611111111111111,0.8764201359351337,0.2740958853421378,0.5454545454545454,0.8363934215690745
2018,20260923,site,0.3944774272061474,2372516,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/site/seed_20260923,0.36589930983143715,0.5793650793650793,0.8796885538453298,0.27424337025044365,0.5568181818181818,0.8372090431764253
2018,20260923,geometry,0.4034729141721153,2447205,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2018/geometry/seed_20260923,0.3664335220102116,0.6388888888888888,0.8811451787913808,0.27390034532137314,0.5568181818181818,0.8361410970384007
2020,20260921,global,0.39406388761352806,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2020/global/seed_20260921,0.43347364701894087,0.6725490196078432,0.8449332245884745,0.21004868647715524,0.45299145299145294,0.7238775366787017
2020,20260921,capacity,0.39921800343667657,2447390,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2020/capacity/seed_20260921,0.4406555745523121,0.6588235294117647,0.8281416773402933,0.19600262962142884,0.517094017094017,0.7191568125784193
2020,20260921,site,0.3965825684605329,2372516,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2020/site/seed_20260921,0.4270221447673303,0.6637254901960784,0.8384501095693322,0.20000540485272295,0.517094017094017,0.7269605485774867
2020,20260921,geometry,0.3846281211117806,2447205,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2020/geometry/seed_20260921,0.4352351678358617,0.6480392156862744,0.8376981718549156,0.19183203447877117,0.45299145299145294,0.7252648336525703
2020,20260922,global,0.3792186411479733,1235604,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2020/global/seed_20260922,0.3799723594653779,0.6549019607843137,0.8587893059244477,0.2122144928557009,0.4914529914529914,0.7210775446027906
2020,20260922,capacity,0.36189168476878586,2447390,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2020/capacity/seed_20260922,0.3681650258376871,0.6049019607843137,0.8626564030363091,0.20693381924615276,0.46581196581196577,0.7171165872654359
2020,20260922,site,0.37460696567257484,2372516,/root/autodl-tmp/BioMaster/outputs/biomaster_best_model_20260906/anchored/cutoff_2020/site/seed_20260922,0.3854718809673042,0.6475490196078431,0.8624781692428013,0.20767902720299156,0.46581196581196577,0.7201663700226785
