variant,parameters,selection_mean,selection_seed_sd,d2t_ap_mean,d2t_ap_seed_sd,t2d_ap_mean,t2d_ap_seed_sd,d2t_r20_mean,d2t_r20_seed_sd,t2d_r20_mean,t2d_r20_seed_sd,d2t_measured_ap_mean,d2t_measured_ap_seed_sd,t2d_measured_ap_mean,t2d_measured_ap_seed_sd
capacity,2711508,0.4063368432277228,0.020046950439573386,0.34956960543174254,0.004772758531113165,0.2772123717107308,0.0217516527015824,0.6535208527855586,0.036032540872461376,0.5929001554001554,0.04023022468913135,0.8621447951588693,0.00593617593880049,0.7917258746398893,0.009136956203543541
global,838292,0.40016136727244755,0.020964443416970624,0.3565834120285136,0.023156058202643562,0.2732645202796481,0.028450369994376015,0.6478835978835978,0.012176991758298412,0.5502136752136751,0.038899419859910425,0.8517382346447872,0.012211087443398966,0.7886014233189589,0.0012787000372016166
