name,parameters,recipe,representation,selection_mean,selection_seed_sd,d2t_ap_mean,d2t_ap_seed_sd,t2d_ap_mean,t2d_ap_seed_sd,d2t_r20_mean,d2t_r20_seed_sd,t2d_r20_mean,t2d_r20_seed_sd,d2t_measured_ap_mean,d2t_measured_ap_seed_sd,t2d_measured_ap_mean,t2d_measured_ap_seed_sd
global,838292,baseline,drugclip,0.40016136727244755,0.020964443416970624,0.3565834120285136,0.023156058202643562,0.2732645202796481,0.028450369994376015,0.6478835978835978,0.012176991758298412,0.5502136752136751,0.038899419859910425,0.8517382346447872,0.012211087443398966,0.7886014233189589,0.0012787000372016166
capacity,2711508,baseline,drugclip,0.4063368432277228,0.020046950439573386,0.34956960543174254,0.004772758531113165,0.2772123717107308,0.0217516527015824,0.6535208527855586,0.036032540872461376,0.5929001554001554,0.04023022468913135,0.8621447951588693,0.00593617593880049,0.7917258746398893,0.009136956203543541
global_ema,838292,global_ema,drugclip,0.4103009182414598,0.009507867702402622,0.35790281942413316,0.015817667850442717,0.2932445153873539,0.00442097603184878,0.6487122626828509,0.029398298676297948,0.567283411033411,0.019600313254119338,0.8673399309873618,0.005828676330789233,0.7946885094725786,0.0036922368316673463
global_query,838292,global_query,drugclip,0.4123429919414547,0.006496760550634527,0.35174047218833565,0.013295469155394484,0.31357776456668546,0.015346386318422842,0.6169662309368191,0.021934610476735387,0.5795778295778296,0.009254234671957719,0.8628751267515357,0.008483354773414104,0.7951768266709252,0.0045265289606609554
global_assay,838292,global_assay,drugclip,0.4102989978253762,0.007914935390506826,0.34946435569561424,0.013045107373653615,0.3004086571729337,0.012991773784208824,0.6301353874883286,0.030654996863636364,0.5888209013209013,0.034037011864385,0.8554174821961095,0.00917358199985467,0.7976501868367141,0.004278777131894926
bermol,887956,global_ema,bermol,0.36904447807942226,0.018929135779509276,0.3504210860873616,0.02435164533484222,0.2405861247465806,0.025904460502367898,0.6080376595082477,0.02631761952901934,0.4732420357420357,0.028444183692821177,0.8496699670771365,0.0008153045464941244,0.7641714818667905,0.002859903662060915
bermol_morgan,1285268,global_ema,bermol_morgan,0.4092299096441076,0.006722589677070825,0.3908331913322347,0.022613729592250883,0.26304508331979876,0.03318128229308153,0.6388422035480859,0.021590443330580533,0.5636412198912198,0.03523686443275364,0.8505805311763286,0.013091151415915115,0.7669069179675522,0.0071624199496053515
morgan,1136276,global_ema,morgan,0.37038454694913575,0.007761818345906775,0.35260011891256676,0.01563635281741438,0.25511232772391507,0.01966974537121016,0.5507975412387177,0.01838322487421696,0.5004370629370629,0.013962725041590567,0.846210030022433,0.009563000263616197,0.7618445189327584,0.0029882637328858984
drugclip_morgan,1235604,global_ema,drugclip_morgan,0.4374925072801877,0.013383204542563918,0.42110932913068794,0.017382921931468308,0.28668768184120835,0.01696282592323203,0.6673825085589792,0.01582723139134588,0.5977078477078477,0.01706785331273309,0.8680426161651335,0.008970092162788133,0.7892721049536968,0.003177474569954375
