model,selection,d2t_ap,t2d_ap
bermol,0.34281021302416037,0.3272112797595652,0.20531583468134837
bermol_morgan,0.38968185609799044,0.37782111130263557,0.23884621986247453
capacity,0.37812165115706114,0.3188960710697255,0.2465213124740396
drugclip_morgan,0.42640127989270904,0.4088738724559297,0.2737891968633239
global,0.379635423645776,0.3521398611970144,0.22855277086973377
global_assay,0.38148792864349307,0.3439879737607072,0.2525049145001802
global_ema,0.39276514643631905,0.34261434138530283,0.26233854601043083
global_query,0.3888046296084329,0.3413719802104988,0.25213754133089766
morgan,0.36117903572358845,0.3475067562511438,0.23653328835737095
