cutoff,variant,selection_count,selection_mean,selection_std,selection_min,selection_max,d2t_ap_count,d2t_ap_mean,d2t_ap_std,d2t_ap_min,d2t_ap_max,t2d_ap_count,t2d_ap_mean,t2d_ap_std,t2d_ap_min,t2d_ap_max,d2t_r20_count,d2t_r20_mean,d2t_r20_std,d2t_r20_min,d2t_r20_max,t2d_r20_count,t2d_r20_mean,t2d_r20_std,t2d_r20_min,t2d_r20_max,d2t_measured_ap_count,d2t_measured_ap_mean,d2t_measured_ap_std,d2t_measured_ap_min,d2t_measured_ap_max,t2d_measured_ap_count,t2d_measured_ap_mean,t2d_measured_ap_std,t2d_measured_ap_min,t2d_measured_ap_max
2018,capacity,3,0.38310226575834627,0.015341529647169174,0.3686481547056427,0.39919901897808396,3,0.3406608543021994,0.006344036015946928,0.33334426561974917,0.3446313032693921,3,0.22683500292531647,0.03147040238717163,0.2038244599045358,0.26269745836216063,3,0.667989417989418,0.0308232280363255,0.6428571428571429,0.7023809523809523,3,0.5618686868686869,0.0476630961822648,0.5113636363636364,0.606060606060606,3,0.8731015460067035,0.008730202748378917,0.8675822252365195,0.8831666333953775,3,0.8469414051756283,0.013390306999590705,0.8316191977558577,0.8563977223498215
2018,global,3,0.3939311867024629,0.009963930420087428,0.38243240133566153,0.4000172702418706,3,0.36442830282961797,0.0051632911588962846,0.3594957705484699,0.36979494300867577,3,0.2605224800390971,0.03281497924028406,0.2278164943263621,0.2934453774352939,3,0.6402116402116401,0.045992959393422496,0.5873015873015872,0.6706349206349206,3,0.5277777777777778,0.030617059729752864,0.4924242424242424,0.5454545454545454,3,0.86825639811978,0.01157170299981717,0.8550204988086122,0.8764594463162909,3,0.8448060677820758,0.008536712004174067,0.8351517209785202,0.8513567964309278
2018,global_assay,2,0.38841251342286387,0.007784455990108549,0.38290807180440983,0.39391695504131785,2,0.3471442466927094,0.025146863716774454,0.3293627288330042,0.36492576455241454,2,0.2733123470077427,0.035538735622615315,0.2481826660541955,0.29844202796128994,2,0.6170634920634921,0.02525381361380522,0.5992063492063492,0.6349206349206349,2,0.5246212121212122,0.05089026076721356,0.48863636363636365,0.5606060606060606,2,0.8756293584906268,0.0016628787931288593,0.8744535256197141,0.8768051913615396,2,0.8478051562491252,0.0004073588999462622,0.8475171100085965,0.8480932024896539
2018,global_ema,3,0.3942690766028176,0.005279597227730494,0.38934982709867916,0.39984717616223814,3,0.3537660937031657,0.005722635613104594,0.34715831861984475,0.3571092202121364,3,0.26994693489198013,0.01697329093945589,0.2548922973324153,0.2883421431300714,3,0.6283068783068783,0.051024607201020936,0.5912698412698413,0.6865079365079365,3,0.5448232323232323,0.009342581178629274,0.5340909090909091,0.5511363636363636,3,0.8797260671898578,0.006587994741406816,0.8721207189204598,0.8836725571396736,3,0.8477353109760082,0.009383959574319787,0.8381365997533757,0.8568886595180548
2018,global_query,2,0.38574473467934645,0.0009366564343131783,0.3850824185630016,0.3864070507956913,2,0.31989145263313,0.0056426611691840056,0.31590148865646195,0.323881416609798,2,0.2833959154674147,0.001187807073116074,0.28255600903127304,0.28423582190355645,2,0.6071428571428571,0.022447834323382383,0.5912698412698413,0.6230158730158729,2,0.5568181818181819,0.03214121732666134,0.5340909090909091,0.5795454545454546,2,0.8806638496284718,0.008050832517530774,0.8749710513611286,0.886356647895815,2,0.8510083708555529,0.0049552140025507525,0.8475045054321187,0.8545122362789871
2020,capacity,3,0.42957142069709925,0.02645061679258382,0.4102016793473749,0.4597073297011442,3,0.3584783565612857,0.014581698833719962,0.3436312114537917,0.37277925799295275,3,0.32758974049614514,0.014395443709963098,0.3131039006658475,0.34189305224992,3,0.6390522875816993,0.04235116342190044,0.6107843137254901,0.6877450980392157,3,0.6239316239316239,0.09517545919367564,0.5213675213675213,0.7094017094017093,3,0.8511880443110353,0.005037155628782929,0.8454102900090165,0.8546566655846596,3,0.7365103441041505,0.005117378516762735,0.7307458530080218,0.7405175539564548
2020,global,3,0.4063915478424322,0.033877805983626774,0.37766015465241437,0.44374824316052197,3,0.3487385212274092,0.04688187250141187,0.3174511858409669,0.4026410042780202,3,0.2860065605201991,0.025591000778275023,0.25653042387483044,0.3025522093200235,3,0.6555555555555556,0.022174713729869622,0.6377450980392156,0.6803921568627451,3,0.5726495726495725,0.05337605126836237,0.5299145299145298,0.6324786324786325,3,0.8352200711697945,0.018263979652019206,0.8233166897337559,0.8562484022801724,3,0.732396778855842,0.0061644992144375,0.7270083808932435,0.739118995477656
2020,global_assay,2,0.43837439288451435,0.008688367908452477,0.432230789019004,0.4445179967500247,2,0.36653813142751834,0.017705457974649865,0.35401848202963,0.3790577808254067,2,0.3257737517116027,0.000962043043152329,0.3250934845519964,0.3264540188712091,2,0.655392156862745,0.05615259732952003,0.6156862745098038,0.6950980392156862,2,0.6517094017094016,0.04532735776836842,0.6196581196581196,0.6837606837606837,2,0.8298452584393803,0.02404226449002885,0.8128448101834003,0.8468457066953602,2,0.7463533771258924,0.012181936359582587,0.7377394473180486,0.7549673069337363
2020,global_ema,2,0.4348473756657306,0.005180029411943804,0.4311845417417994,0.4385102095896618,2,0.3818306356540274,0.011847190424322631,0.37345340696698054,0.39020786434107424,2,0.31135266564474184,0.03271097620408275,0.28822251255160314,0.33448281873788055,2,0.6811274509803921,0.019757395356683034,0.6671568627450979,0.6950980392156862,2,0.6004273504273503,0.06345830087571577,0.5555555555555555,0.6452991452991452,2,0.8506490664271784,0.0013845485711352292,0.8496700427436465,0.8516280901107103,2,0.7386217099334658,0.006479510588558191,0.7340400040575262,0.7432034158094053
2020,global_query,2,0.43254324079956036,0.010531244074859416,0.4250965266998966,0.4399899548992241,2,0.39262897815655784,0.03603809031288444,0.367146200115304,0.41811175619781166,2,0.32910898198181116,0.02323035280446995,0.3126826419844145,0.3455353219792078,2,0.6066176470588235,0.05996542801238869,0.5642156862745097,0.6490196078431373,2,0.5929487179487178,0.0196418550329597,0.579059829059829,0.6068376068376068,2,0.8373208399192389,0.022676650936480774,0.8212860262674531,0.8533556535710247,2,0.7443571563601337,0.0013216981996166536,0.7434225746005028,0.7452917381197647
