cutoff,variant,seed,selected_epoch,trained_epochs,selection,parameters,d2t_ap,d2t_r20,d2t_measured_ap,t2d_ap,t2d_r20,t2d_measured_ap
2018,capacity,20260921,8,12,0.39919901897808396,2711508,0.33334426561974917,0.7023809523809523,0.8685557793882136,0.26269745836216063,0.5681818181818182,0.8528072954212056
2018,capacity,20260922,3,7,0.3686481547056427,2711508,0.3446313032693921,0.6428571428571429,0.8831666333953775,0.21398309050925307,0.5113636363636364,0.8563977223498215
2018,capacity,20260923,4,8,0.38145962359131214,2711508,0.3440069940174569,0.6587301587301587,0.8675822252365195,0.2038244599045358,0.606060606060606,0.8316191977558577
2018,global,20260921,4,8,0.4000172702418706,838292,0.3639941949317082,0.5873015873015872,0.8764594463162909,0.2934453774352939,0.5454545454545454,0.8351517209785202
2018,global,20260922,12,12,0.3993438885298567,838292,0.3594957705484699,0.6706349206349206,0.8550204988086122,0.26030556835563523,0.5454545454545454,0.8513567964309278
2018,global,20260923,6,10,0.38243240133566153,838292,0.36979494300867577,0.6626984126984127,0.8732892492344368,0.2278164943263621,0.4924242424242424,0.8479096859367795
2018,global_assay,20260921,11,12,0.38290807180440983,838292,0.3293627288330042,0.5992063492063492,0.8768051913615396,0.29844202796128994,0.48863636363636365,0.8480932024896539
2018,global_assay,20260922,6,10,0.39391695504131785,838292,0.36492576455241454,0.6349206349206349,0.8744535256197141,0.2481826660541955,0.5606060606060606,0.8475171100085965
2018,global_ema,20260921,4,8,0.3936102265475356,838292,0.34715831861984475,0.6071428571428571,0.8836725571396736,0.2883421431300714,0.5340909090909091,0.8381365997533757
2018,global_ema,20260922,7,11,0.39984717616223814,838292,0.3571092202121364,0.6865079365079365,0.8721207189204598,0.2548922973324153,0.5511363636363636,0.8568886595180548
2018,global_ema,20260923,9,12,0.38934982709867916,838292,0.35703074227751586,0.5912698412698413,0.8833849255094399,0.26660636421345374,0.5492424242424242,0.848180673656594
2018,global_query,20260921,8,12,0.3850824185630016,838292,0.31590148865646195,0.5912698412698413,0.886356647895815,0.28255600903127304,0.5795454545454546,0.8545122362789871
2018,global_query,20260922,5,9,0.3864070507956913,838292,0.323881416609798,0.6230158730158729,0.8749710513611286,0.28423582190355645,0.5340909090909091,0.8475045054321187
2020,capacity,20260921,6,10,0.4597073297011442,2711508,0.37277925799295275,0.6877450980392157,0.8546566655846596,0.34189305224992,0.7094017094017093,0.7405175539564548
2020,capacity,20260922,7,11,0.4188052530427787,2711508,0.3436312114537917,0.6186274509803921,0.8534971773394299,0.3131039006658475,0.6410256410256411,0.738267625347975
2020,capacity,20260923,4,8,0.4102016793473749,2711508,0.3590246002371127,0.6107843137254901,0.8454102900090165,0.327772268572668,0.5213675213675213,0.7307458530080218
2020,global,20260921,3,7,0.44374824316052197,838292,0.4026410042780202,0.6803921568627451,0.8233166897337559,0.3025522093200235,0.6324786324786325,0.739118995477656
2020,global,20260922,4,8,0.3977662457143601,838292,0.3261233735632407,0.6377450980392156,0.8260951214954549,0.29893704836574336,0.5555555555555555,0.7270083808932435
2020,global,20260923,8,12,0.37766015465241437,838292,0.3174511858409669,0.6485294117647058,0.8562484022801724,0.25653042387483044,0.5299145299145298,0.7310629601966261
2020,global_assay,20260921,5,9,0.432230789019004,838292,0.3790577808254067,0.6156862745098038,0.8128448101834003,0.3264540188712091,0.6196581196581196,0.7377394473180486
2020,global_assay,20260922,7,11,0.4445179967500247,838292,0.35401848202963,0.6950980392156862,0.8468457066953602,0.3250934845519964,0.6837606837606837,0.7549673069337363
2020,global_ema,20260921,3,7,0.4385102095896618,838292,0.39020786434107424,0.6950980392156862,0.8496700427436465,0.28822251255160314,0.6452991452991452,0.7432034158094053
2020,global_ema,20260922,4,8,0.4311845417417994,838292,0.37345340696698054,0.6671568627450979,0.8516280901107103,0.33448281873788055,0.5555555555555555,0.7340400040575262
2020,global_query,20260921,9,12,0.4399899548992241,838292,0.41811175619781166,0.6490196078431373,0.8212860262674531,0.3126826419844145,0.579059829059829,0.7434225746005028
2020,global_query,20260922,4,8,0.4250965266998966,838292,0.367146200115304,0.5642156862745097,0.8533556535710247,0.3455353219792078,0.6068376068376068,0.7452917381197647
