variant,parameters,selection_mean,d2t_ap_mean,t2d_ap_mean,d2t_r20_mean,t2d_r20_mean,d2t_measured_ap_mean,t2d_measured_ap_mean,selection_seed_sd,d2t_ap_seed_sd,t2d_ap_seed_sd,d2t_r20_seed_sd,t2d_r20_seed_sd,d2t_measured_ap_seed_sd,t2d_measured_ap_seed_sd
capacity,2447390,0.39800973562230624,0.3836431002200416,0.25702019381110114,0.6356442577030812,0.5228729603729604,0.8571166075956403,0.7757333004725523,0.012634239883690185,0.01390325478012002,0.020824509580744922,0.02416505350420649,0.004519448997980741,0.013963002767206696,0.003309091295661197
geometry,2447205,0.393675242286331,0.3892295123026364,0.24590350373601141,0.6356286959228136,0.5068958818958819,0.8598032608931735,0.7771331444544766,0.004547023382176623,0.009981152251323778,0.00765532260217303,0.003991056262485176,0.009385646962426535,0.012159574543342815,0.003783064345587255
global,1235604,0.40017365696904655,0.3866667881245236,0.2588793876563787,0.6429505135387488,0.5185994560994561,0.8586670793772839,0.7774954148084291,0.012586423366251133,0.01850940873738652,0.01670227693316281,0.017300808775150358,0.025103972534792567,0.00835405370603943,0.003551794332729401
parent,1235604,0.4374925072801877,0.42110932913068794,0.28668768184120835,0.6673825085589792,0.5977078477078477,0.8680426161651335,0.7892721049536968,0.013383204542563918,0.017382921931468308,0.01696282592323203,0.01582723139134588,0.01706785331273309,0.008970092162788133,0.003177474569954375
site,2372516,0.3954658009013439,0.3847174022483011,0.25064624307824035,0.6289137877373171,0.5250097125097124,0.8604050292514059,0.7773928107630498,0.011311195722743615,0.01126836909999384,0.016212714233700118,0.020964155905459452,0.004814309918956372,0.0122600479440584,0.005181153901650559
