scope,model,direction,ap,r5,r10,r20,mrr,ndcg20,queries,candidates,known_pairs,observed_ap,observed_auroc,observed_queries
project_720x384,frozen_v3,d2t,0.4495121927139534,0.5319103181854438,0.6067114069626632,0.6615725180737745,0.48540726814949914,0.508504394641318,398,384,807,0.9533968444971754,0.9687064407990554,150
project_720x384,frozen_v3,t2d,0.3564281366296743,0.359208135531665,0.4505690763043705,0.5219230142759554,0.5052115028677064,0.4329681357785663,185,720,807,0.8345292250597048,0.9488437734462261,144
old_validation_52,frozen_v3,d2t,0.4750240352434873,0.5797979797979798,0.6368686868686868,0.6641414141414141,0.520216989674077,0.5307464889871237,33,384,77,0.7708672056458569,0.8441263172600966,15
old_validation_52,frozen_v3,t2d,0.5267185283028403,0.5401234567901235,0.6018518518518519,0.7283950617283951,0.5406322027176489,0.5675033441910516,54,52,77,0.8358333333333333,0.8970238095238094,30
historical_test_54,frozen_v3,d2t,0.4192787210994678,0.5019607843137255,0.5553921568627451,0.6642156862745098,0.4513600356739574,0.4860981722461885,34,384,71,0.8896399951280296,0.8962771401985112,20
historical_test_54,frozen_v3,t2d,0.48544661951889817,0.5350877192982456,0.5818713450292398,0.6140350877192983,0.519903375443798,0.5175856350888326,57,54,71,0.7645833333333333,0.8077227120705381,26
absent_old_drugs_223,frozen_v3,d2t,0.31012559044145316,0.3962466105323248,0.42345749488606627,0.46898339755482615,0.3393725269629804,0.349827873264755,91,384,188,,,0
absent_old_drugs_223,frozen_v3,t2d,0.31780856636875404,0.3119598765432099,0.36940586419753085,0.4349922839506173,0.39587106375914277,0.3524008988560438,72,223,188,,,0
project_720x384,A_residual_bce__20260908,d2t,0.4495121927139534,0.5319103181854438,0.6067114069626632,0.6615725180737745,0.48540726814949914,0.508504394641318,398,384,807,0.9533968444971754,0.9687064407990554,150
project_720x384,A_residual_bce__20260908,t2d,0.3564281366296743,0.359208135531665,0.4505690763043705,0.5219230142759554,0.5052115028677064,0.4329681357785663,185,720,807,0.8345292250597048,0.9488437734462261,144
old_validation_52,A_residual_bce__20260908,d2t,0.4750240352434873,0.5797979797979798,0.6368686868686868,0.6641414141414141,0.520216989674077,0.5307464889871237,33,384,77,0.7708672056458569,0.8441263172600966,15
old_validation_52,A_residual_bce__20260908,t2d,0.5267185283028403,0.5401234567901235,0.6018518518518519,0.7283950617283951,0.5406322027176489,0.5675033441910516,54,52,77,0.8358333333333333,0.8970238095238094,30
historical_test_54,A_residual_bce__20260908,d2t,0.4192787210994678,0.5019607843137255,0.5553921568627451,0.6642156862745098,0.4513600356739574,0.4860981722461885,34,384,71,0.8896399951280296,0.8962771401985112,20
historical_test_54,A_residual_bce__20260908,t2d,0.48544661951889817,0.5350877192982456,0.5818713450292398,0.6140350877192983,0.519903375443798,0.5175856350888326,57,54,71,0.7645833333333333,0.8077227120705381,26
absent_old_drugs_223,A_residual_bce__20260908,d2t,0.31012559044145316,0.3962466105323248,0.42345749488606627,0.46898339755482615,0.3393725269629804,0.349827873264755,91,384,188,,,0
absent_old_drugs_223,A_residual_bce__20260908,t2d,0.31780856636875404,0.3119598765432099,0.36940586419753085,0.4349922839506173,0.39587106375914277,0.3524008988560438,72,223,188,,,0
project_720x384,A_residual_bce__20260909,d2t,0.4495121927139534,0.5319103181854438,0.6067114069626632,0.6615725180737745,0.48540726814949914,0.508504394641318,398,384,807,0.9533968444971754,0.9687064407990554,150
project_720x384,A_residual_bce__20260909,t2d,0.3564281366296743,0.359208135531665,0.4505690763043705,0.5219230142759554,0.5052115028677064,0.4329681357785663,185,720,807,0.8345292250597048,0.9488437734462261,144
old_validation_52,A_residual_bce__20260909,d2t,0.4750240352434873,0.5797979797979798,0.6368686868686868,0.6641414141414141,0.520216989674077,0.5307464889871237,33,384,77,0.7708672056458569,0.8441263172600966,15
old_validation_52,A_residual_bce__20260909,t2d,0.5267185283028403,0.5401234567901235,0.6018518518518519,0.7283950617283951,0.5406322027176489,0.5675033441910516,54,52,77,0.8358333333333333,0.8970238095238094,30
historical_test_54,A_residual_bce__20260909,d2t,0.4192787210994678,0.5019607843137255,0.5553921568627451,0.6642156862745098,0.4513600356739574,0.4860981722461885,34,384,71,0.8896399951280296,0.8962771401985112,20
historical_test_54,A_residual_bce__20260909,t2d,0.48544661951889817,0.5350877192982456,0.5818713450292398,0.6140350877192983,0.519903375443798,0.5175856350888326,57,54,71,0.7645833333333333,0.8077227120705381,26
absent_old_drugs_223,A_residual_bce__20260909,d2t,0.31012559044145316,0.3962466105323248,0.42345749488606627,0.46898339755482615,0.3393725269629804,0.349827873264755,91,384,188,,,0
absent_old_drugs_223,A_residual_bce__20260909,t2d,0.31780856636875404,0.3119598765432099,0.36940586419753085,0.4349922839506173,0.39587106375914277,0.3524008988560438,72,223,188,,,0
project_720x384,A_residual_bce__20260910,d2t,0.4437428696733958,0.5328944052876213,0.5992813997839124,0.6442986487270409,0.47919161000795174,0.4996460467095026,398,384,807,0.9512245428683459,0.9660191801899252,150
project_720x384,A_residual_bce__20260910,t2d,0.37096242017384357,0.3885737196031314,0.4644220048631814,0.5464216515687104,0.5183942645044153,0.45002987851297865,185,720,807,0.8630712795302541,0.9543392947317935,144
old_validation_52,A_residual_bce__20260910,d2t,0.48697234579347115,0.5702020202020202,0.5969696969696969,0.6525252525252525,0.5307678181772244,0.533490959015842,33,384,77,0.7547071066221168,0.8209154783034383,15
old_validation_52,A_residual_bce__20260910,t2d,0.5281359073057821,0.5401234567901235,0.6203703703703703,0.7253086419753088,0.542988148737363,0.569710706927936,54,52,77,0.8275,0.8926587301587301,30
historical_test_54,A_residual_bce__20260910,d2t,0.43151698352890555,0.5313725490196078,0.6450980392156863,0.6583333333333333,0.4633522457440951,0.4949106735056642,34,384,71,0.8872344028009872,0.895670929093308,20
