variant,epoch,d2t_ap,t2d_ap,d2t_r20,t2d_r20,selection,exposure_sha256
global,6,0.44199499610315485,0.2622872776102455,0.6039215686274509,0.5619658119658119,0.4213819028886795,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
capacity,6,0.37277925799295275,0.34189305224992,0.6877450980392157,0.7094017094017093,0.4597073297011442,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
sequence,6,0.3704250903012661,0.20120230555950974,0.6147058823529411,0.4786324786324786,0.36407034269908445,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
site,6,0.34856722050875966,0.25182332792535067,0.5666666666666667,0.5598290598290598,0.3791110509262976,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
geometry,6,0.4026413729428839,0.28854424680584134,0.6980392156862746,0.5811965811965811,0.4338003364444822,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
