variant,seed,parameters,trained_epochs,selected_epoch,d2t_ap,t2d_ap,d2t_r20,t2d_r20,measured_d2t_ap,measured_t2d_ap,seconds,max_epoch_reached
global,20260921,838292,7,3,0.4026410042780202,0.3025522093200235,0.6803921568627451,0.6324786324786325,0.8233166897337559,0.739118995477656,56.65050967782736,False
capacity,20260921,2711508,10,6,0.37277925799295275,0.34189305224992,0.6877450980392157,0.7094017094017093,0.8546566655846596,0.7405175539564548,88.74673399701715,False
sequence,20260921,2562052,8,4,0.4100326136034109,0.23716845460156535,0.6009803921568626,0.5299145299145298,0.8289372597909433,0.7325492638684734,845.0083969915286,False
site,20260921,2562052,8,4,0.3471527111695508,0.35424364177159595,0.5495098039215686,0.6367521367521367,0.8350217380932481,0.716970268376784,857.0869512110949,False
geometry,20260921,2711430,10,6,0.4026413729428839,0.28854424680584134,0.6980392156862746,0.5811965811965811,0.8346987497890971,0.7347181472708433,1311.3438889002427,False
