model,seed,scope,head,pairs,positive,weak_negative,auroc,average_precision,macro_query_ap,both_class_queries
frozen_parent,0,all,drug_to_target,822,312,510,0.5502953745600805,0.4748821355752774,0.6509200140285902,39
frozen_parent,0,all,target_to_drug,822,312,510,0.5367647058823529,0.46453784090065947,0.6983656261594121,72
frozen_parent,0,core384,drug_to_target,396,81,315,0.8255927885557515,0.6075969878656894,0.8113030798018663,13
frozen_parent,0,core384,target_to_drug,396,81,315,0.8217911032725848,0.5978884970065037,0.6565175565175565,33
frozen_parent,0,extended506,drug_to_target,426,231,195,0.5121323121323121,0.5612719901526332,0.6000388916289204,30
frozen_parent,0,extended506,target_to_drug,426,231,195,0.5312243312243312,0.5643956349353324,0.7337755312409823,39
