model,screen_pass_before_review,reviewed_eligible,retained_original384_in_eligible_pool,pending_new_pair_reviews,known_holds,complete384_selected,selected384_overlap,reviewed_drugs,reviewed_targets,solver_status
original_legacy,574,449,384,0,125,True,384.0,243,136,SELECTED384
old_neural,839,89,75,712,38,False,,74,41,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
A_seed_20260921,705,43,36,640,22,False,,38,22,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
A_seed_20260922,880,67,55,788,25,False,,57,29,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
A_seed_20260923,730,60,54,651,19,False,,51,25,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
A_consensus,752,58,50,668,26,False,,50,24,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
B_seed_20260921,636,56,47,553,27,False,,47,31,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
B_seed_20260922,634,53,47,552,29,False,,43,29,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
B_seed_20260923,575,49,40,497,29,False,,42,25,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
B_consensus,591,59,49,501,31,False,,47,30,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
DTIAM,270,58,53,195,17,False,,53,24,INSUFFICIENT_REVIEWED_ELIGIBLE_PAIRS
