model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9868339227693345,roc_auc,2.5026843547821045,30741.529864788055,0.0015974044799804688,0.36979079246520996,2,True,12
LightGBMLarge,0.98594761444209,roc_auc,0.7271816730499268,3616.8545022010803,0.7271816730499268,3616.8545022010803,1,True,10
XGBoost,0.9858544539054104,roc_auc,0.18253326416015625,10494.437079906464,0.18253326416015625,10494.437079906464,1,True,8
LightGBM,0.9822031903053394,roc_auc,0.4447512626647949,2379.1985788345337,0.4447512626647949,2379.1985788345337,1,True,2
LightGBMXT,0.9803697841995085,roc_auc,0.4138932228088379,2413.5204377174377,0.4138932228088379,2413.5204377174377,1,True,1
NeuralNetFastAI,0.9770650860385233,roc_auc,0.3146049976348877,1768.574758052826,0.3146049976348877,1768.574758052826,1,True,11
NeuralNetTorch,0.9758235013030487,roc_auc,1.2767670154571533,14861.29373383522,1.2767670154571533,14861.29373383522,1,True,9
CatBoost,0.9730177262414779,roc_auc,0.03870797157287598,2663.404943704605,0.03870797157287598,2663.404943704605,1,True,5
RandomForestEntr,0.9727550109053841,roc_auc,0.23493123054504395,915.5153703689575,0.23493123054504395,915.5153703689575,1,True,4
RandomForestGini,0.9695058006811865,roc_auc,0.22336101531982422,910.6128742694855,0.22336101531982422,910.6128742694855,1,True,3
ExtraTreesEntr,0.9636683460915624,roc_auc,0.22843027114868164,218.6228470802307,0.22843027114868164,218.6228470802307,1,True,7
ExtraTreesGini,0.9620098337662342,roc_auc,0.22485136985778809,210.12490558624268,0.22485136985778809,210.12490558624268,1,True,6
