ligand_inchikey,ligand_smiles,drug_names,project_entity_ids,target_chembl_id,gene_symbol,uniprot_accession,target_name,target_class_l1,assay_lane,calibration_status,positive_compounds,negative_compounds,computed_pocket_evidence,pocket_consensus_class,best_method_match_p2rank_rank,best_method_match_fpocket_rank,evidence_compute_route,target_compute_class_zh,class_specific_compute_bundle_zh,wetlab_priority,conplex_score,conplex_rank_within_target,conplex_rank_within_ligand_46,conplex_percentile_within_target,conplex_percentile_within_ligand_46,drugclip_predicted_pocket_cosine_mean,drugclip_predicted_pocket_sixfold_std,drugclip_rank_within_target,drugclip_rank_within_ligand_44,drugclip_percentile_within_target,drugclip_percentile_within_ligand_44,drugclip_formal_eligible,dta_target_percentile_disagreement,dta_ligand_percentile_disagreement,dta_target_top10pct_concordant,dta_bidirectional_top10pct_concordant,sequence_only_fragment_exploratory_top5pct,candidate_route,candidate_selection_note,_minimax_rank,candidate_rank_within_target_route,_conplex_top10,_drugclip_top10,candidate_pair_id,primary_pose_row_index,primary_pose_cnn_score,primary_cnn_affinity,primary_cnn_vs,primary_pose_vina_affinity,best_vina_affinity,pose_count,vina_directional,cnn_affinity_percentile_vs_all_controls,vina_percentile_vs_all_controls,cnn_affinity_percentile_vs_positive_controls,vina_percentile_vs_positive_controls,positive_control_median_cnn_affinity,positive_control_median_vina_directional,predicted_pocket_qualification,auroc_primary_cnn_affinity,auroc_secondary_vina,gnina_control_calibrated_support,candidate_triage_status,cnn_affinity_rank_within_candidate_target,vina_rank_within_candidate_target
PAJMKGZZBBTTOY-ZFORQUDYSA-N,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,treprostinil,UNII:RUM6K67ESG,CHEMBL1287628,NOX1,Q9Y5S8,NADPH oxidase 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T3_MINIMUM_POSITIVE_NEGATIVE,78,19,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,2.0,52.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.52183974,67.0,1.0,0.90820587,1.0,0.14353879,0.124163784,72.0,15.0,0.90125173,0.67441857,True,0.0069541335,0.32558143,True,False,False,TWO_MODEL_TARGET_TOP10PCT_CONCORDANT,Eligible for control-calibrated candidate docking,72.0,1,,,RECOVERED_CANDIDATE_CHEMBL1287628_PAJMKGZZBBTTOY-ZFORQUDYSA-N,0,0.4703246951,6.431892395,3.0250778198,-6.11932,-7.5919,5,7.5919,0.6666666666666666,0.5416666666666666,0.5,0.25,6.4459860325000005,7.907775,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.7777777777777777,0.8472222222222221,False,NO_GNINA_CONTROL_CALIBRATED_SUPPORT,1.0,1.0
MWKYMZXCGYXLPL-ZDUSSCGKSA-N,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,leniolisib,UNII:L22772Z9CP,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.6609794,1.0,1.0,1.0,1.0,-0.29250073,0.056634318,678.0,44.0,0.05841446,0.0,True,0.94158554,1.0,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,1,True,False,RECOVERED_CANDIDATE_CHEMBL3023_MWKYMZXCGYXLPL-ZDUSSCGKSA-N,0,0.6380456686,7.5214443207,4.7990250587,-7.11882,-8.68874,5,8.68874,0.9583333333333334,0.4583333333333333,0.9166666666666666,0.08333333333333333,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,5.0,8.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,quizartinib,UNII:7LA4O6Q0D3,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,585.5,26.0,0.18706536,0.44444442,0.34318498,0.08609411,1.0,3.0,1.0,0.95348835,True,0.81293464,0.50904393,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,13,False,True,RECOVERED_CANDIDATE_CHEMBL3023_CVWXJKQAOSCOAB-UHFFFAOYSA-N,60,0.3204189241,7.2979826927,2.338411808,-8.16842,-8.16842,5,8.16842,0.9583333333333334,0.3333333333333333,0.9166666666666666,0.0,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,6.0,12.0
NXQKSXLFSAEQCZ-SFHVURJKSA-N,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,sotorasib,UNII:2B2VM6UC8G,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.42764622,5.0,2.0,0.99443674,0.9777778,-0.19505255,0.087320946,572.0,38.0,0.20584142,0.13953489,True,0.7885953,0.8382429,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,5,True,False,RECOVERED_CANDIDATE_CHEMBL3023_NXQKSXLFSAEQCZ-SFHVURJKSA-N,20,0.2639029026,6.7635321617,1.7849158049,-7.22697,-7.22697,5,7.22697,0.7916666666666666,0.041666666666666664,0.5833333333333334,0.0,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,8.0,16.0
DWZAEMINVBZMHQ-UHFFFAOYSA-N,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,gedatolisib,UNII:96265TNH2R,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.015619909,320.0,24.0,0.55632824,0.48888886,0.31445813,0.13067357,4.0,3.0,0.99582756,0.95348835,True,0.43949932,0.4645995,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,12,False,True,RECOVERED_CANDIDATE_CHEMBL3023_DWZAEMINVBZMHQ-UHFFFAOYSA-N,55,0.287437737,6.7500948906,1.9402320385,-7.77121,-8.30615,5,8.30615,0.7916666666666666,0.375,0.5833333333333334,0.0,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,9.0,11.0
WGFOBBZOWHGYQH-MXHNKVEKSA-N,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,lubiprostone,UNII:7662KG2R6K,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.4193961,6.0,6.0,0.9930459,0.8888889,-0.35565224,0.08259871,708.0,43.0,0.016689837,0.023255825,True,0.9763561,0.8656331,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,6,True,False,RECOVERED_CANDIDATE_CHEMBL3023_WGFOBBZOWHGYQH-MXHNKVEKSA-N,25,0.7312523723,6.5717215538,4.8055868149,-7.89608,-8.33369,5,8.33369,0.7083333333333334,0.375,0.4166666666666667,0.0,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,10.0,10.0
KJFBVJALEQWJBS-XUXIUFHCSA-N,CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,maribavir,UNII:PTB4X93HE1,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,585.5,31.5,0.18706536,0.32222223,0.25925937,0.047516014,8.0,8.0,0.99026424,0.8372093,True,0.8031989,0.51498705,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,19,False,True,RECOVERED_CANDIDATE_CHEMBL3023_KJFBVJALEQWJBS-XUXIUFHCSA-N,90,0.8212853074,6.5157456398,5.3512859344,-7.12409,-8.46807,5,8.46807,0.7083333333333334,0.375,0.4166666666666667,0.0,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,11.0,9.0
LKJPYSCBVHEWIU-UHFFFAOYSA-N,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,bicalutamide,UNII:A0Z3NAU9DP,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.4010038,7.0,15.0,0.99165505,0.6888889,-0.24323453,0.07687191,632.0,38.0,0.12239224,0.13953489,True,0.8692628,0.549354,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,7,True,False,RECOVERED_CANDIDATE_CHEMBL3023_LKJPYSCBVHEWIU-UHFFFAOYSA-N,30,0.4801366329,6.3324227333,3.0404281616,-8.34838,-9.09488,5,9.09488,0.5416666666666666,0.5,0.3333333333333333,0.08333333333333333,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,12.0,7.0
JJVAPHYEOZSKJZ-JGCGQSQUSA-N,Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12,zavegepant,UNII:ODU3ZAZ94J,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,585.5,34.5,0.18706536,0.25555557,0.24577402,0.089655496,10.0,2.0,0.9874826,0.9767442,True,0.80041724,0.7211886,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,20,False,True,RECOVERED_CANDIDATE_CHEMBL3023_JJVAPHYEOZSKJZ-JGCGQSQUSA-N,95,0.2535093725,6.0643405914,1.5373672247,-8.61905,-10.01672,5,10.01672,0.25,0.9166666666666666,0.08333333333333333,0.8333333333333334,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,13.0,5.0
RJCWBNBKOKFWNY-IDPLTSGASA-N,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,omaveloxolone,UNII:G69Z98951Q,CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,95,115,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,9.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.38045818,9.0,8.0,0.9888734,0.84444445,-0.40833592,0.12478598,719.0,44.0,0.0013908148,0.0,True,0.9874826,0.84444445,False,False,False,MODEL_DISAGREEMENT_UNION_TOP10_EACH,Diagnostic docking only; not eligible for formal promotion without DTA concordance,,9,True,False,RECOVERED_CANDIDATE_CHEMBL3023_RJCWBNBKOKFWNY-IDPLTSGASA-N,40,0.2664284706,5.8647003174,1.5625231266,-7.01221,-7.10552,5,7.10552,0.20833333333333334,0.041666666666666664,0.0,0.0,6.5993778706,9.559075,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,0.8055555555555556,0.9444444444444444,False,MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT,14.0,17.0
