cutoff,seed,condition,mean_absolute_logit_change,max_absolute_logit_change
2018,20260921,geometry_off,0.0006863664602860808,0.014041900634765625
2018,20260921,coordinates_shuffled,3.725484248207067e-06,0.0002307891845703125
2018,20260922,geometry_off,0.003895352128893137,0.252838134765625
2018,20260922,coordinates_shuffled,2.3330097974394448e-05,0.0034923553466796875
2018,20260923,geometry_off,0.00018783066479954869,0.006796836853027344
2018,20260923,coordinates_shuffled,3.1421166113432264e-06,5.245208740234375e-05
2020,20260921,geometry_off,0.0004399678437039256,0.011601448059082031
2020,20260921,coordinates_shuffled,1.4532542991219088e-06,4.76837158203125e-05
2020,20260922,geometry_off,0.000578510866034776,0.038422584533691406
2020,20260922,coordinates_shuffled,5.638160018861527e-06,0.0005927085876464844
2020,20260923,geometry_off,0.004649048671126366,0.4465808868408203
2020,20260923,coordinates_shuffled,7.369212107732892e-05,0.014975547790527344
