cutoff,seed,condition,d2t_ap,d2t_r20,t2d_ap,t2d_r20,composite
2018,20260921,full,0.3605242419044538,0.6309523809523809,0.30546186296678585,0.5492424242424242,0.41012435748415466
2018,20260921,geometry_off,0.3605242419044538,0.6309523809523809,0.30546186296678585,0.5492424242424242,0.41012435748415466
2018,20260921,coordinates_shuffled,0.3605242419044538,0.6309523809523809,0.30546186296678585,0.5492424242424242,0.41012435748415466
2018,20260922,full,0.3971022177640024,0.6507936507936508,0.30863968542056336,0.5606060606060606,0.42871962282455467
2018,20260922,geometry_off,0.3971157039932347,0.6507936507936508,0.30863945250572256,0.5606060606060606,0.4287242614845917
2018,20260922,coordinates_shuffled,0.3971022177640024,0.6507936507936508,0.30863968542056336,0.5606060606060606,0.42871962282455467
2018,20260923,full,0.3659239462791871,0.6388888888888888,0.27350455655346556,0.5568181818181818,0.403156036597489
2018,20260923,geometry_off,0.3659239462791871,0.6388888888888888,0.27350455655346556,0.5568181818181818,0.403156036597489
2018,20260923,coordinates_shuffled,0.3659239462791871,0.6388888888888888,0.27350455655346556,0.5568181818181818,0.403156036597489
2020,20260921,full,0.4340846217668039,0.6480392156862744,0.19790215892001992,0.45299145299145294,0.3863499735420474
2020,20260921,geometry_off,0.4340846217668039,0.6480392156862744,0.19790215892001992,0.45299145299145294,0.3863499735420474
2020,20260921,coordinates_shuffled,0.4340846217668039,0.6480392156862744,0.19790215892001992,0.45299145299145294,0.3863499735420474
2020,20260922,full,0.3796691772459601,0.6122549019607844,0.20593502964792415,0.46581196581196577,0.366671502578772
2020,20260922,geometry_off,0.3796691772459601,0.6122549019607844,0.20593502964792415,0.46581196581196577,0.366671502578772
2020,20260922,coordinates_shuffled,0.3796691772459601,0.6122549019607844,0.20593502964792415,0.46581196581196577,0.366671502578772
2020,20260923,full,0.39202033984871426,0.6328431372549019,0.19878831128171098,0.4786324786324786,0.37350437027875594
2020,20260923,geometry_off,0.391997631312793,0.6328431372549019,0.1987829760279355,0.4786324786324786,0.37349455495236206
2020,20260923,coordinates_shuffled,0.39202033984871426,0.6328431372549019,0.19877967793974433,0.4786324786324786,0.3735013486090676
