model,rank_band,pairs,percent
A,1–10,36,9.375
A,11–20,14,3.6458333333333335
A,21–50,50,13.020833333333334
A,51–100,61,15.885416666666666
A,101–200,111,28.90625
A,201–384,112,29.166666666666668
B,1–10,29,7.552083333333333
B,11–20,20,5.208333333333333
B,21–50,45,11.71875
B,51–100,72,18.75
B,101–200,103,26.822916666666668
B,201–384,115,29.947916666666668
