model,primary_reason,pairs
A_consensus,DEEP_REVIEW_HOLD,4
A_consensus,MOLECULE_IDENTITY_HOLD,6
A_consensus,NEW_PAIR_REVIEW_PENDING,668
A_consensus,PRIOR_ACTIVITY_RECORD,8
A_consensus,PRIOR_AGENT_HOLD_OR_EXCLUSION,8
A_consensus,REVIEW_PASSED,58
B_consensus,DEEP_REVIEW_HOLD,4
B_consensus,DISEASE_CONTEXT_HOLD,1
B_consensus,MOLECULE_IDENTITY_HOLD,8
B_consensus,NEW_PAIR_REVIEW_PENDING,501
B_consensus,PRIOR_ACTIVITY_RECORD,7
B_consensus,PRIOR_AGENT_HOLD_OR_EXCLUSION,11
B_consensus,REVIEW_PASSED,59
