model,pairs,top20,rank_only_gate_loss,additional_nonmodel_rejections,top50,top100,mean_rank,median_rank,q25,q75,minimum,maximum,all_three_seeds_top20,any_seed_top20
A,384,50,334,0,100,161,143.91666666666666,125.0,47.0,226.25,1,381,10,101
B,384,49,335,0,94,166,139.65104166666666,119.5,51.75,216.0,1,381,14,87
