variant,condition,composite,d2t_ap,t2d_ap,d2t_r20,t2d_r20,correction_ratio
geometry,coordinates_shuffled,0.3936733060091789,0.38922409710917805,0.24590338670903503,0.6356286959228136,0.5068958818958819,
geometry,full,0.3936753206777283,0.3892295123026364,0.24590372771143218,0.6356286959228136,0.5068958818958819,0.018881737096670577
geometry,geometry_off,0.39367819799493015,0.3892406138130759,0.24590084710728366,0.6356286959228136,0.5068958818958819,
geometry,local_off,0.39324947768831864,0.3885608520479848,0.24592258713466383,0.6343059446000622,0.5068958818958819,
site,full,0.39546838074521445,0.3847174022483011,0.2506536140607277,0.6289137877373171,0.5250097125097125,0.05941121462736861
site,local_off,0.3935956717103546,0.3850213847496722,0.25111301837206024,0.6231948334889511,0.516462703962704,
