cutoff,seed,variant,condition,composite,d2t_ap,t2d_ap,d2t_r20,t2d_r20,correction_ratio
2018,20260921,site,full,0.40305261892519045,0.35383711081639657,0.3016842864837767,0.6309523809523809,0.5265151515151515,0.00598586481823436
2018,20260921,site,local_off,0.40321739326826966,0.3543753709513656,0.30161681018617675,0.6309523809523809,0.5265151515151515,
2018,20260921,geometry,full,0.41134135881341666,0.36378980977074593,0.305673441755528,0.6309523809523809,0.5492424242424242,0.004581058193959687
2018,20260921,geometry,local_off,0.4113552900704356,0.36383538587392455,0.30566766924383204,0.6309523809523809,0.5492424242424242,
2018,20260921,geometry,geometry_off,0.41134404239366684,0.3637972896125329,0.3056736292858845,0.6309523809523809,0.5492424242424242,
2018,20260921,geometry,coordinates_shuffled,0.41134135881341666,0.36378980977074593,0.305673441755528,0.6309523809523809,0.5492424242424242,
2018,20260922,site,full,0.4333151811602006,0.39849954997080383,0.3258610789470234,0.6190476190476191,0.5795454545454546,0.008146815038882614
2018,20260922,site,local_off,0.43432948075740796,0.4014044856166574,0.32585414215033387,0.6190476190476191,0.5795454545454546,
2018,20260922,geometry,full,0.4214440230180166,0.39752251231680774,0.29717222258933734,0.6507936507936508,0.5378787878787878,0.04425079697456123
2018,20260922,geometry,local_off,0.41999272958390604,0.3968321198028434,0.2971174229786321,0.6428571428571429,0.5378787878787878,
2018,20260922,geometry,geometry_off,0.42144393583110507,0.3975295606740574,0.29716492512662623,0.6507936507936508,0.5378787878787878,
2018,20260922,geometry,coordinates_shuffled,0.42144336566895163,0.39752302501111897,0.2971698317548405,0.6507936507936508,0.5378787878787878,
2018,20260923,site,full,0.3944774272061474,0.36589930983143715,0.27424337025044365,0.5793650793650793,0.5568181818181818,0.005624889917228917
2018,20260923,site,local_off,0.3944806591395893,0.365918022900977,0.27423389127645204,0.5793650793650793,0.5568181818181818,
2018,20260923,geometry,full,0.4034729141721153,0.3664335220102116,0.27390034532137314,0.6388888888888888,0.5568181818181818,0.006099041681850185
2018,20260923,geometry,local_off,0.4033531409461951,0.3660303068759497,0.27396135123872045,0.6388888888888888,0.5568181818181818,
2018,20260923,geometry,geometry_off,0.4034730280588362,0.3664373572494918,0.2738968354727244,0.6388888888888888,0.5568181818181818,
2018,20260923,geometry,coordinates_shuffled,0.4034729141721153,0.3664335220102116,0.27390034532137314,0.6388888888888888,0.5568181818181818,
2020,20260921,site,full,0.3965826265144335,0.4270221447673303,0.20000557072101027,0.6637254901960784,0.517094017094017,0.20054278968475106
2020,20260921,site,local_off,0.38501463217525767,0.42812040256408634,0.2025398048575721,0.6294117647058823,0.46581196581196577,
2020,20260921,geometry,full,0.3846281855428795,0.4352351678358617,0.1918322185676252,0.6480392156862744,0.45299145299145294,0.004656148563623166
2020,20260921,geometry,local_off,0.3845440280325506,0.4350734218871967,0.1917535144867791,0.6480392156862744,0.45299145299145294,
2020,20260921,geometry,geometry_off,0.38462777432435,0.43524343548087147,0.1918227760125312,0.6480392156862744,0.45299145299145294,
2020,20260921,geometry,coordinates_shuffled,0.3846281855428795,0.4352351678358617,0.1918322185676252,0.6480392156862744,0.45299145299145294,
2020,20260922,site,full,0.3746065896926436,0.3854718809673042,0.20767795297461653,0.6475490196078431,0.46581196581196577,0.006615296263187839
2020,20260922,site,local_off,0.37495812093167824,0.38554363495854727,0.208610573952044,0.6475490196078431,0.46581196581196577,
2020,20260922,geometry,full,0.366791660822141,0.3796687886359764,0.20627872752467652,0.6122549019607844,0.46581196581196577,0.0062687906141445995
2020,20260922,geometry,local_off,0.366636062522416,0.37896519058451394,0.20653775900549598,0.6122549019607844,0.46581196581196577,
2020,20260922,geometry,geometry_off,0.3667917602059614,0.3796687886359764,0.20627901147844888,0.6122549019607844,0.46581196581196577,
2020,20260922,geometry,coordinates_shuffled,0.36678138307123653,0.37963913967961965,0.20627901147844888,0.6122549019607844,0.46581196581196577,
2020,20260923,site,full,0.3707758409726714,0.3775744171365342,0.1944494249874958,0.6328431372549019,0.5042735042735043,0.12955163204192688
2020,20260923,site,local_off,0.3695737439899247,0.37476639150639957,0.19382288780978263,0.6328431372549019,0.5042735042735043,
2020,20260923,geometry,full,0.3743737816978009,0.3927272732462153,0.20056541051005272,0.6328431372549019,0.4786324786324786,0.04743458655188459
2020,20260923,geometry,local_off,0.3736156149744084,0.39062868726348043,0.2004978058545234,0.6328431372549019,0.4786324786324786,
2020,20260923,geometry,geometry_off,0.3743886471556612,0.3927672512255252,0.20056790526748663,0.6328431372549019,0.4786324786324786,
2020,20260923,geometry,coordinates_shuffled,0.37437262878647376,0.39272391834751025,0.2005654713763945,0.6328431372549019,0.4786324786324786,
