cutoff,seed,variant,condition,mean_absolute_logit_change,max_absolute_logit_change
2018,20260921,site,local_off,0.010644730180501938,0.125
2018,20260921,geometry,local_off,0.011053941212594509,0.25
2018,20260921,geometry,geometry_off,0.0020771813578903675,0.125
2018,20260921,geometry,coordinates_shuffled,0.0001223438885062933,0.125
2018,20260922,site,local_off,0.02491113729774952,0.5625
2018,20260922,geometry,local_off,0.12392154335975647,1.90625
2018,20260922,geometry,geometry_off,0.0068393065594136715,0.25
2018,20260922,geometry,coordinates_shuffled,0.0005546071915887296,0.125
2018,20260923,site,local_off,0.0114548085257411,0.125
2018,20260923,geometry,local_off,0.012147280387580395,0.125
2018,20260923,geometry,geometry_off,0.0016048647230491042,0.125
2018,20260923,geometry,coordinates_shuffled,0.00012599589535966516,0.125
2020,20260921,site,local_off,0.741011381149292,5.1875
2020,20260921,geometry,local_off,0.010762505233287811,0.25
2020,20260921,geometry,geometry_off,0.001754525350406766,0.1875
2020,20260921,geometry,coordinates_shuffled,9.749679884407669e-05,0.125
2020,20260922,site,local_off,0.01773792691528797,0.15625
2020,20260922,geometry,local_off,0.01933077536523342,0.125
2020,20260922,geometry,geometry_off,0.00207400880753994,0.125
2020,20260922,geometry,coordinates_shuffled,0.00020965369185432792,0.125
2020,20260923,site,local_off,0.5248711705207825,4.71875
2020,20260923,geometry,local_off,0.19899232685565948,3.4375
2020,20260923,geometry,geometry_off,0.007410576567053795,0.5
2020,20260923,geometry,coordinates_shuffled,0.0007283758604899049,0.125
