arm,panel,scope,pairs,positive,negative,auroc_mean,auroc_sd,ap_mean,ap_sd,brier_mean,brier_sd,top1pct_precision_mean,top1pct_precision_sd,top5pct_precision_mean,top5pct_precision_sd,false_positive_rate_mean,false_positive_rate_sd,precision_mean,precision_sd,recall_mean,recall_sd
all_inactive,ACTIVITY_EC50,all,11957,8543,3414,0.9247441404148599,0.0012914929165119646,0.9617080166220294,0.0018051092622656981,0.0953220365905963,0.00048296896380061767,0.9972222222222222,0.0048112522432468,0.9866220735785953,0.005016722408026697,0.25688342120679547,0.014081095889539392,0.9008177712889891,0.004415030649575097,0.9320691404268603,0.0048111319651327365
all_inactive,ACTIVITY_EC50,document_disjoint,188,166,22,0.8312796641109893,0.02842824653194762,0.9544716439170666,0.004114713381431878,0.08126432602300783,0.023129411167362054,0.8333333333333334,0.28867513459481287,0.9,0.0,0.37878787878787884,0.05248638810814781,0.9500045119954623,0.007723670551796245,0.9558232931726908,0.030913261683414996
all_inactive,ACTIVITY_EC50,targets_both_arms,10895,7950,2945,0.9190265489245534,0.0014686115207604626,0.9617297469513897,0.0018603508264751515,0.09710181598070544,0.000602620616019116,1.0,0.0,0.9865443425076453,0.005898257346172987,0.2787775891341256,0.016245668881365985,0.9003290128761358,0.004721629348792042,0.9324947589098532,0.00500675282031978
all_inactive,ACTIVITY_EC50,targets_neither,2,0,2,,,,,0.34749339317834166,0.07450746557786564,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,
all_inactive,ACTIVITY_EC50,targets_only_all,1060,593,467,0.9614266128867238,0.003591469185588587,0.9625329182418482,0.00639750947830169,0.0765531317147337,0.0014851802703116836,1.0,0.0,1.0,0.0,0.11777301927194857,0.0042826552462526465,0.9089920663839965,0.0032456617006239932,0.926363125351321,0.0035103979754909495
all_inactive,ACTIVITY_IC50,all,85704,65173,20531,0.9465297546195942,0.0005136591827623994,0.9805058910488665,0.00043441599076368665,0.07586184966265559,0.00013621677924046676,1.0,0.0,0.9983667755482967,0.0006173008191938332,0.23850112837497764,0.015343915291953808,0.9265785593373597,0.0039873186819724665,0.947820927889361,0.0053049616958326384
all_inactive,ACTIVITY_IC50,document_disjoint,995,509,486,0.7882524706180386,0.01780471000402238,0.8077839019479747,0.016847155213279338,0.18935404188944868,0.009959437011787612,0.9333333333333332,0.11547005383792512,0.9466666666666667,0.011547005383792525,0.350480109739369,0.056437644930509505,0.6974145539949118,0.028080088123366622,0.7668631303208907,0.01908160089631102
all_inactive,ACTIVITY_IC50,targets_both_arms,79864,61668,18196,0.9452589037317233,0.0006718341423639684,0.9811995875300846,0.00053120566682718,0.075181994607341,0.00023402361231030167,1.0,0.0,0.9984142880988149,0.0005211982973125504,0.2495603429325126,0.01579871823683491,0.9280635596084844,0.003838556466686664,0.9496389267259087,0.005399574827103509
all_inactive,ACTIVITY_IC50,targets_neither,26,10,16,0.55625,0.08860904299223642,0.6216492450904215,0.0441259334096534,0.32551930328273654,0.07611566217801033,1.0,0.0,1.0,0.0,0.5416666666666666,0.13010412496663332,0.3862179487179487,0.07453215355277874,0.5333333333333333,0.05773502691896257
all_inactive,ACTIVITY_IC50,targets_only_all,5814,3495,2319,0.9526254369010699,0.0017266937555320875,0.9667042502110946,0.0016113939796623955,0.08408421814279393,0.001728849455091176,1.0,0.0,0.997709049255441,0.0019840215436068903,0.14963346269943936,0.012564728145177676,0.9023572414131626,0.006954845720619301,0.9169289461134955,0.004379957082767735
