query_id,positives,candidates,ap,mrr,recall_5,ndcg_5,recall_10,ndcg_10,recall_20,ndcg_20,direction
26,2,384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
41,1,291,0.006172839506172839,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,d2t
52,1,383,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,d2t
58,1,383,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,d2t
64,1,384,0.125,0.125,0.0,0.0,1.0,0.31546487678572877,1.0,0.31546487678572877,d2t
97,1,384,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,d2t
135,5,381,0.059776239224564806,0.07692307692307693,0.0,0.0,0.0,0.0,0.2,0.0890802702182344,d2t
147,4,312,0.8409090909090909,1.0,0.75,0.8318724637288826,0.75,0.8318724637288826,1.0,0.9407662247971147,d2t
152,3,384,0.3158730158730159,0.3333333333333333,0.6666666666666666,0.41618115554873086,0.6666666666666666,0.41618115554873086,1.0,0.5362968113467822,d2t
177,1,311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
183,4,384,0.7470238095238095,1.0,0.75,0.75369761125927,1.0,0.8838242945899706,1.0,0.8838242945899706,d2t
211,1,313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
247,1,307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
260,1,310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
270,2,381,0.5769230769230769,1.0,0.5,0.6131471927654584,0.5,0.6131471927654584,1.0,0.7741900178546666,d2t
277,1,380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
278,1,384,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,d2t
364,1,379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
372,1,379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,d2t
433,2,301,0.25757575757575757,0.3333333333333333,0.5,0.3065735963827292,0.5,0.3065735963827292,1.0,0.4776066804504473,d2t
462,1,382,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,1.0,0.23540891336663824,d2t
485,1,307,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,d2t
