pair_id,ligand_inchikey,target_chembl_id,gene_symbol,label,binary_label,source_rows,sources,endpoints,relations,min_nM,max_nM,has_grey,has_unresolved,positive_record_ids,negative_record_ids,endpoint_group,refresh_covered,existing_ChEMBL37_numeric_pair,local_training_exact_pair,local_training_connectivity_pair,local_training_drug_seen,local_training_target_seen,drug_names,known_relation_excluded,known_training,known_chembl37,novelty_pass,identity_scope_pass,chemistry_policy_pass,independent_validation_rank_score,biomaster_independent_borda_score,ensemble_drug_to_target_logit,old_drug_leakage_safe_score_v10,dtiam_probability,rank_SPR_current,rank_contract_primary,rank_neural_full_fit,rank_graph_ranker,rank_DTIAM_comparator,scored,refresh_endpoint_covered
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL220,ACHE,POSITIVE,1.0,16,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,2.9,38.0,False,False,111;165;6553;13516;19871;24106;48429;50571;56597;58877;116059;116096;116146;116208;116243;116288,,Kd_Ki,True,True,False,False,True,True,donepezil,True,False,True,False,True,True,3.283445702827948,0.9490861618798956,4.1731224,0.626441714502216,0.7000126,1.0,3.0,4.0,40.0,10.0,True,True
GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL206,GZUITABIAKMVPG-UHFFFAOYSA-N,CHEMBL206,ESR1,POSITIVE,1.0,15,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,0.03,2.4,False,False,600;15324;18990;20590;22670;46067;46068;52645;63203;70397;129906;129943;129951;130122;130146,,Kd_Ki,True,True,False,False,True,True,raloxifene,True,False,True,False,True,True,3.029677562911988,0.9973890339425588,4.0971155,0.9139816446532624,0.92700565,2.0,2.0,2.0,2.0,2.0,True,True
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL325,WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL325,HDAC1,POSITIVE,1.0,26,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,1.3,182.0,False,False,653;7399;13507;19291;28315;36977;50108;58625;62916;62918;62934;64824;65320;164619;164690;164793;164893;164950;165038;165200;165439;165776;165778;165786;165908;165955,,Kd_Ki,True,True,False,False,True,True,vorinostat,True,False,True,False,True,True,1.1553597224098258,0.9960835509138382,1.923463,0.9286626744170996,0.590683,2.0,2.0,3.0,2.0,51.0,True,True
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL1865,WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL1865,HDAC6,POSITIVE,1.0,19,BindingDB_202609;ChEMBL37_existing,Kd;Ki,<;=,1.0,300.0,False,False,654;13506;19286;25556;28296;36978;41719;54627;55201;56460;164528;164622;164691;164790;164897;165041;165304;165323;165367,,Kd_Ki,True,True,False,False,True,True,vorinostat,True,False,True,False,True,True,0.4500648656949583,0.9738903394255876,7.078392,0.6975680356061056,0.5699644,6.0,5.0,1.0,15.0,52.0,True,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3024,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL3024,PLK1,WEAK_NEGATIVE,0.0,5,BindingDB_202609;ChEMBL37_existing,Kd;Ki,>,10000.0,20000.0,False,False,,704;26446;30869;42848;143103,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,False,False,True,True,-0.6638205213302801,0.5456919060052219,-6.1770644,0.1359618108621285,0.648675,42.0,144.0,308.0,245.0,284.0,True,True
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL205,JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL205,CA2,POSITIVE,1.0,49,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,290.0,7190.0,True,False,806;11822;12407;19926;19954;20279;20406;21953;22945;23245;23365;23493;27740;28175;36843;37078;39787;46722;48500;52490;56137;56154;65262;137168;137170;137322;137323;137325;137328;137329;137331;137333;137335;137337;137338;137340;137342;137344;137345;137347;137349;137351;137353;137355;137356,,Kd_Ki,True,True,False,False,True,True,hydrochlorothiazide,True,False,True,False,True,True,-0.9641233759123582,0.9203655352480418,6.636879,0.6087636846715602,0.85428315,4.0,4.0,4.0,52.0,15.0,True,True
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL3729,JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL3729,CA4,POSITIVE,1.0,1,BindingDB_202609,Ki,=,427.0,427.0,False,False,818,,Kd_Ki,True,False,False,False,True,True,hydrochlorothiazide,True,False,False,False,True,True,-0.3415088166928908,0.6122715404699739,8.191583,0.3234995869336765,0.91442955,2.0,105.0,2.0,296.0,4.0,True,True
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL3729,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL3729,CA4,POSITIVE,1.0,1,BindingDB_202609,Ki,=,303.0,303.0,False,False,822,,Kd_Ki,True,False,False,False,True,True,bumetanide,True,False,False,False,True,True,-0.8182024930468027,0.8655352480417755,5.9571686,0.6236808788551009,0.8654972,2.0,13.0,3.0,103.0,7.0,True,True
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2326,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL2326,CA7,POSITIVE,1.0,1,BindingDB_202609,Ki,=,62.0,62.0,False,False,844,,Kd_Ki,True,False,False,False,True,True,bumetanide,True,False,False,False,True,True,-0.599654405178381,0.8805483028720626,5.977865,0.6330311731919402,0.90930414,1.0,10.0,2.0,93.0,4.0,True,True
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL3242,JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL3242,CA12,POSITIVE,1.0,1,BindingDB_202609,Ki,=,355.0,355.0,False,False,850,,Kd_Ki,True,False,False,False,True,True,hydrochlorothiazide,True,False,False,False,True,True,-0.6186322734996114,0.8851174934725848,8.816044,0.5680083061902265,0.89327586,3.0,13.0,1.0,86.0,8.0,True,True
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL3242,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL3242,CA12,POSITIVE,1.0,1,BindingDB_202609,Ki,=,21.1,21.1,False,False,854,,Kd_Ki,True,False,False,False,True,True,bumetanide,True,False,False,False,True,True,-2.464574547165657,0.8309399477806789,6.491184,0.6446594976212803,0.7864149,22.0,22.0,1.0,83.0,13.0,True,True
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,XGALLCVXEZPNRQ-UHFFFAOYSA-N,CHEMBL203,EGFR,POSITIVE,1.0,67,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,0.4,470.0,False,False,868;871;1562;1568;1574;1581;1587;1593;1742;1964;14420;14437;14647;14892;14960;15426;15970;16109;16158;16527;16756;18003;18242;18494;18499;18584;18698;18731;18826;18897;20098;23023;34572;45186;45705;54755;55061;56896;59792;63734;63735;63736;63737;63738;65100;67855;67856;68628;68629;68630;68631;168612;168722;168723;168728;168762;169180;169255;169371;169380;169396;169413;169450;169461;169489;169490;169494,,Kd_Ki,True,True,False,False,True,True,gefitinib,True,False,True,False,True,True,3.21315261178343,0.9516971279373369,1.6166229,0.726008272480803,0.77694076,6.0,10.0,3.0,35.0,25.0,True,True
