cohort,rank_band,observed_pairs,positive,weak_negative,observed_positive_fraction,drugs
MERGED_REFRESH,1-10,60,49,11,0.8166666666666667,44
MERGED_REFRESH,11-20,21,7,14,0.3333333333333333,11
MERGED_REFRESH,21-384,407,77,330,0.1891891891891892,52
BINDINGDB_COVERED_MERGED_QC,1-10,53,42,11,0.7924528301886793,38
BINDINGDB_COVERED_MERGED_QC,11-20,19,6,13,0.3157894736842105,9
BINDINGDB_COVERED_MERGED_QC,21-384,407,77,330,0.1891891891891892,52
BINDINGDB_IDENTITY_CHEMISTRY_PASS,1-10,46,37,9,0.8043478260869565,32
BINDINGDB_IDENTITY_CHEMISTRY_PASS,11-20,13,2,11,0.15384615384615385,7
BINDINGDB_IDENTITY_CHEMISTRY_PASS,21-384,323,55,268,0.17027863777089783,43
