cohort,model,score_column,n_pairs,positive,weak_negative,drugs,targets,positive_prevalence,auroc,average_precision,ap_over_prevalence,within_drug_macro_auroc,within_drug_both_class_queries,top10_observed_positive,top10_observed_weak_negative,top10_observed_precision,top10_recall_of_observed_positives,top20_observed_positive,top20_observed_weak_negative,top20_observed_precision,top20_recall_of_observed_positives,top50_observed_positive,top50_observed_weak_negative,top50_observed_precision,top50_recall_of_observed_positives
MERGED_REFRESH,SPR_current,independent_validation_rank_score,488,133,355,83,113,0.2725409836065574,0.7470295456952241,0.6224866858899505,2.284011298603728,0.8438602753561202,19,49,11,0.8166666666666667,0.3684210526315789,56,25,0.691358024691358,0.42105263157894735,79,78,0.5031847133757962,0.5939849624060151
MERGED_REFRESH,neural_full_fit,ensemble_drug_to_target_logit,488,133,355,83,113,0.2725409836065574,0.8547495499311659,0.7147970381990028,2.6227139446700254,0.8048692105063298,19,56,19,0.7466666666666667,0.42105263157894735,77,38,0.6695652173913044,0.5789473684210527,105,93,0.5303030303030303,0.7894736842105263
BINDINGDB_COVERED_MERGED_QC,SPR_current,independent_validation_rank_score,479,125,354,76,107,0.2609603340292276,0.7340790960451977,0.5846354235729991,2.2403229431317326,0.835185846209238,18,42,11,0.7924528301886793,0.336,48,24,0.6666666666666666,0.384,71,77,0.4797297297297297,0.568
BINDINGDB_COVERED_MERGED_QC,neural_full_fit,ensemble_drug_to_target_logit,479,125,354,76,107,0.2609603340292276,0.8498079096045197,0.6904602037258628,2.645843500677506,0.7940286110900147,18,49,19,0.7205882352941176,0.392,70,38,0.6481481481481481,0.56,98,92,0.5157894736842106,0.784
BINDINGDB_IDENTITY_CHEMISTRY_PASS,SPR_current,independent_validation_rank_score,382,94,288,65,100,0.24607329842931938,0.7811761229314421,0.619825908028944,2.5188669879474106,0.8190484689356871,14,37,9,0.8043478260869565,0.39361702127659576,39,20,0.6610169491525424,0.4148936170212766,60,59,0.5042016806722689,0.6382978723404256
BINDINGDB_IDENTITY_CHEMISTRY_PASS,neural_full_fit,ensemble_drug_to_target_logit,382,94,288,65,100,0.24607329842931938,0.8271276595744681,0.6462014429115026,2.6260526722573827,0.8256558333062093,14,39,16,0.7090909090909091,0.4148936170212766,53,30,0.6385542168674698,0.5638297872340425,74,75,0.4966442953020134,0.7872340425531915
